Reference_ID,Title,DOI,Alt_DOI,Date,Journal,Author,Citation (Nature style),Publication Title,ISBN,ISSN,Url,Date Added,Access Date,Pages,Issue,Volume,Journal Abbreviation
58,Effects of geographical and climatic factors on cystic echinococcosis in south-western Iran,https://doi.org/10.1017/S0022149X20000553,,2020,Journal of Helminthology,"Jamshidi, A.; Haniloo, A.; Fazaeli, A.; Ghatee, M.A.","Jamshidi, A., Haniloo, A., Fazaeli, A. & Ghatee, M. A. Effects of geographical and climatic factors on cystic echinococcosis in south-western Iran. J. Helminthol. 94, e175 (2020).",Journal of Helminthology,,"0022-149X, 1475-2697",https://www.cambridge.org/core/product/identifier/S0022149X20000553/type/journal_article,6/10/24 12:01,6/10/24 12:01,e175,,94,J. Helminthol.
59,Effects of Humidity Variation on the Hantavirus Infection and Hemorrhagic Fever with Renal Syndrome Occurrence in Subtropical China,10.4269/ajtmh.15-0486,,2016,American Journal of Tropical Medicine and Hygiene,"Gao, Li-Dong; Tong, Shi-Lu; Lin, Xiao-Ling; Liu, Hai-Ning; Huang, Ru; Tian, Huai-Yu; Huang, Cun-Rui; Xiao, Hong; Li, Na","Gao, L.-D. et al. Effects of Humidity Variation on the Hantavirus Infection and Hemorrhagic Fever with Renal Syndrome Occurrence in Subtropical China. The American Journal of Tropical Medicine and Hygiene 94, 420–427 (2016).",The American Journal of Tropical Medicine and Hygiene,,"0002-9637, 1476-1645",https://ajtmh.org/doi/10.4269/ajtmh.15-0486,6/10/24 12:01,6/10/24 12:01,420-427,2,94,
60,Effects of meteorological factors on human leptospirosis in Colombia,https://doi.org/10.1007/s00484-020-02028-2,,2021,International Journal of Biometeorology,"Gutierrez, J. D.","Gutierrez, J. D. Effects of meteorological factors on human leptospirosis in Colombia. Int J Biometeorol 65, 257–263 (2021).",International Journal of Biometeorology,,"0020-7128, 1432-1254",https://link.springer.com/10.1007/s00484-020-02028-2,6/10/24 12:01,6/10/24 12:01,257-263,2,65,Int J Biometeorol
61,Effects of meteorological factors on scrub typhus in a temperate region of China,10.1017/S0950268813003208,,2014,Epidemiology and Infection,"Yang, L. P.; Liu, J.; Wang, X. J.; Ma, W.; Jia, C. X.; Jiang, B. F.","Yang, L. P. et al. Effects of meteorological factors on scrub typhus in a temperate region of China. Epidemiol. Infect. 142, 2217–2226 (2014).",Epidemiology and Infection,,"0950-2688, 1469-4409",https://www.cambridge.org/core/product/identifier/S0950268813003208/type/journal_article,6/10/24 12:01,6/10/24 12:01,2217-2226,10,142,Epidemiol. Infect.
63,"Population, Environmental, and Community Effects on Local Bank Vole (Myodes glareolus) Puumala Virus Infection in an Area with Low Human Incidence",10.1089/vbz.2007.0160,,2008,Mary Ann Liebert: vector-borne and zoonotic diseases,"Tersago, K.; Schreurs, A.; Linard, C.; Verhagen, R.; Van Dongen, S.; Leirs, H.","Tersago, K. et al. Population, Environmental, and Community Effects on Local Bank Vole ( Myodes glareolus ) Puumala Virus Infection in an Area with Low Human Incidence. Vector-Borne and Zoonotic Diseases 8, 235–244 (2008).",Vector-Borne and Zoonotic Diseases,,"1530-3667, 1557-7759",https://www.liebertpub.com/doi/10.1089/vbz.2007.0160,6/10/24 12:01,6/10/24 12:01,235-244,2,8,Vector-Borne and Zoonotic Diseases
64,Environmental risk factors for haemorrhagic fever with renal syndrome in a French new epidemic area,10.1017/S0950268810002062,,2011,Epidemiology and Infection,"Viel, J.-F.; Lefebvre, A.; Marianneau, P.; Joly, D.; Giraudoux, P.; Upegui, E.; Tordo, N.; Hoen, B.","Viel, J.-F. et al. Environmental risk factors for haemorrhagic fever with renal syndrome in a French new epidemic area. Epidemiol. Infect. 139, 867–874 (2011).",Epidemiology and Infection,,"0950-2688, 1469-4409",https://www.cambridge.org/core/product/identifier/S0950268810002062/type/journal_article,6/10/24 12:02,6/10/24 12:02,867-874,6,139,Epidemiol. Infect.
67,Environmental and socioeconomic determinants of leptospirosis incidence in Colombia,10.1590/0102-311XER118417,,2019,Cad. sa√É¬∫de p√É¬∫blica,"Gutiérrez, Juan David; Martínez-Vega, Ruth Aralí; Botello, Hector; Ruiz-Herrera, Freddy Jesús; Arenas-López, Laura Carolina; Hernandez-Tellez, Karen Dayana","Gutiérrez, J. D. et al. Environmental and socioeconomic determinants of leptospirosis incidence in Colombia. Cad Saude Publica 35, e00118417 (2019).",Cadernos De Saude Publica,,1678-4464,,6/10/24 14:49,,e00118417,3,35,Cad Saude Publica
68,Environmental conditions and Puumala virus transmission in Belgium,10.1186/1476-072X-6-55,,2007,Epidemiology and Infection,"Linard, Catherine; Tersago, Katrien; Leirs, Herwig; Lambin, Eric F","Linard, C., Tersago, K., Leirs, H. & Lambin, E. F. Environmental conditions and Puumala virus transmission in Belgium. Int J Health Geogr 6, 55 (2007).",International Journal of Health Geographics,,1476-072X,http://ij-healthgeographics.biomedcentral.com/articles/10.1186/1476-072X-6-55,6/10/24 12:02,6/10/24 12:02,55,1,6,Int J Health Geogr
69,Environmental correlates of crimean-congo haemorrhagic fever incidence in Bulgaria,10.1186/1471-2458-12-1116,,2012,BMC Public Health,"Vescio, Fenicia M; Busani, Luca; Mughini-Gras, Lapo; Khoury, Cristina; Avellis, Luca; Taseva, Evgenia; Rezza, Giovanni; Christova, Iva","Vescio, F. M. et al. Environmental correlates of crimean-congo haemorrhagic fever incidence in Bulgaria. BMC Public Health 12, 1116 (2012).",BMC Public Health,,1471-2458,https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-12-1116,6/10/24 12:02,6/10/24 12:02,1116,1,12,BMC Public Health
70,Environmental Drivers of Monkeypox Transmission in the Democratic Republic of the Congo,https://doi.org/10.1007/s10393-022-01610-x,,2022,EcoHealth,"Mandja, Bien-Aimé; Handschumacher, Pascal; Bompangue, Didier; Gonzalez, Jean-Paul; Muyembe, Jean-Jacques; Sauleau, Erik-André; Mauny, Frédéric","Mandja, B.-A. et al. Environmental Drivers of Monkeypox Transmission in the Democratic Republic of the Congo. EcoHealth 19, 354–364 (2022).",EcoHealth,,"1612-9202, 1612-9210",https://link.springer.com/10.1007/s10393-022-01610-x,6/10/24 12:47,6/10/24 12:47,354-364,3,19,EcoHealth
71,"Environmental factors and spatiotemporal distribution of Japanese encephalitis after vaccination campaign in Guizhou Province, China (2004–2016)",https://doi.org/10.1186/s12879-021-06857-3,,2021,BMC Infectious Diseases,"Zhao, Suye; Li, Yidan; Fu, Shihong; Liu, Ming; Li, Fan; Liu, Chunting; Yu, Jing; Rui, Liping; Wang, Dingming; Wang, Huanyu","Zhao, S. et al. Environmental factors and spatiotemporal distribution of Japanese encephalitis after vaccination campaign in Guizhou Province, China (2004–2016). BMC Infect Dis 21, 1172 (2021).",BMC Infectious Diseases,,1471-2334,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06857-3,6/10/24 12:47,6/10/24 12:47,1172,1,21,BMC Infect Dis
72,"Environmental Predictors and Incubation Period of AIDS-Associated <i>Penicillium marneffei</i> Infection in Ho Chi Minh City, Vietnam",10.1093/cid/cit058,,2013,Clinical Infectious Diseases,"Bulterys, Philip L.; Le, Thuy; Quang, Vo Minh; Nelson, Kenrad E.; Lloyd-Smith, James O.","Bulterys, P. L., Le, T., Quang, V. M., Nelson, K. E. & Lloyd-Smith, J. O. Environmental Predictors and Incubation Period of AIDS-Associated Penicillium marneffei Infection in Ho Chi Minh City, Vietnam. Clin Infect Dis. 56, 1273–1279 (2013).",Clinical Infectious Diseases,,"1058-4838, 1537-6591",https://academic.oup.com/cid/article-lookup/doi/10.1093/cid/cit058,6/10/24 14:49,6/10/24 14:49,1273-1279,9,56,Clin Infect Dis.
74,"Environmental, climatic and host population risk factors of human cystic echinococcosis in southwest of Iran",https://doi.org/10.1186/s12889-020-09638-w,,2020,BMC Public Health,"Ghatee, Mohammad Amin; Nikaein, Koorosh; Taylor, Walter Robert; Karamian, Mehdi; Alidadi, Hasan; Kanannejad, Zahra; Sehatpour, Faezeh; Zarei, Fateme; Pouladfar, Gholamreza","Ghatee, M. A. et al. Environmental, climatic and host population risk factors of human cystic echinococcosis in southwest of Iran. BMC Public Health 20, 1611 (2020).",BMC Public Health,,1471-2458,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-09638-w,6/10/24 12:47,6/10/24 12:47,1611,1,20,BMC Public Health
75,Epidemiological features and risk factors associated with the spatial and temporal distribution of human brucellosis in China,10.1186/1471-2334-13-547,,2013,BMC Infectious Diseases,"Li, Yin-Jun; Li, Xin-Lou; Liang, Song; Fang, Li-Qun; Cao, Wu-Chun","Li, Y.-J., Li, X.-L., Liang, S., Fang, L.-Q. & Cao, W.-C. Epidemiological features and risk factors associated with the spatial and temporal distribution of human brucellosis in China. BMC Infect Dis 13, 547 (2013).",BMC Infectious Diseases,,1471-2334,https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-13-547,6/10/24 12:47,6/10/24 12:47,547,1,13,BMC Infect Dis
76,Flying-Fox Species Density - A Spatial Risk Factor for Hendra Virus Infection in Horses in Eastern Australia,10.1371/journal.pone.0099965,,2014,PLOS One,"Smith, Craig; Skelly, Chris; Kung, Nina; Roberts, Billie; Field, Hume","Smith, C., Skelly, C., Kung, N., Roberts, B. & Field, H. Flying-Fox Species Density - A Spatial Risk Factor for Hendra Virus Infection in Horses in Eastern Australia. PLoS ONE 9, e99965 (2014).",PLoS ONE,,1932-6203,https://dx.plos.org/10.1371/journal.pone.0099965,6/10/24 12:47,6/10/24 12:47,e99965,6,9,PLoS ONE
77,Forecasting the monthly incidence rate of brucellosis in west of Iran using time series and data mining from 2010 to 2019,https://doi.org/10.1371/journal.pone.0232910,,2020,PLOS One,"Bagheri, Hadi; Tapak, Leili; Karami, Manoochehr; Hosseinkhani, Zahra; Najari, Hamidreza; Karimi, Safdar; Cheraghi, Zahra","Bagheri, H. et al. Forecasting the monthly incidence rate of brucellosis in west of Iran using time series and data mining from 2010 to 2019. PLoS ONE 15, e0232910 (2020).",PLOS ONE,,1932-6203,https://dx.plos.org/10.1371/journal.pone.0232910,6/10/24 13:01,6/10/24 13:01,e0232910,5,15,PLoS ONE
78,"Game Animal Density, Climate, and Tick-Borne Encephalitis in Finland, 2007–2017",https://doi.org/10.3201/eid2612.191282,,2020,Emerging Infectious Diseases,"Dub, Timothée; Ollgren, Jukka; Huusko, Sari; Uusitalo, Ruut; Siljander, Mika; Vapalahti, Olli; Sane, Jussi","Dub, T. et al. Game Animal Density, Climate, and Tick-Borne Encephalitis in Finland, 2007–2017. Emerg. Infect. Dis. 26, 2899–2906 (2020).",Emerging Infectious Diseases,,"1080-6040, 1080-6059",http://wwwnc.cdc.gov/eid/article/26/12/19-1282_article.htm,6/10/24 13:01,6/10/24 13:01,2899-2906,12,26,Emerg. Infect. Dis.
79,Geographical distribution and relative risk of Anjozorobe virus (Thailand orthohantavirus) infection in black rats (Rattus rattus) in Madagascar,https://doi.org/10.1186/s12985-018-0992-9,,2018,Virology Journal,"Raharinosy, Vololoniaina; Olive, Marie-Marie; Andriamiarimanana, Fehivola Mandanirina; Andriamandimby, Soa Fy; Ravalohery, Jean-Pierre; Andriamamonjy, Seta; Filippone, Claudia; Rakoto, Danielle Aurore Doll; Telfer, Sandra; Heraud, Jean-Michel","Raharinosy, V. et al. Geographical distribution and relative risk of Anjozorobe virus (Thailand orthohantavirus) infection in black rats (Rattus rattus) in Madagascar. Virol J 15, 83 (2018).",Virology Journal,,1743-422X,https://virologyj.biomedcentral.com/articles/10.1186/s12985-018-0992-9,6/10/24 13:02,6/10/24 13:02,83,1,15,Virol J
80,Hantavirus disease (nephropathia epidemica) in Belgium: effects of tree seed production and climate,10.1017/S0950268808000940,,2009,Epidemiology and Infection,"Tersago, K.; Verhagen, R.; Servais, A.; Heyman, P.; Ducoffre, G.; Leirs, H.","Tersago, K. et al. Hantavirus disease (nephropathia epidemica) in Belgium: effects of tree seed production and climate. Epidemiol. Infect. 137, 250–256 (2009).",Epidemiology and Infection,,"0950-2688, 1469-4409",https://www.cambridge.org/core/product/identifier/S0950268808000940/type/journal_article,6/10/24 13:02,6/10/24 13:02,250-256,2,137,Epidemiol. Infect.
81,"Hantavirus pulmonary syndrome outbreaks associated with climate variability in Northwestern Argentina, 1997–2017",https://doi.org/10.1371/journal.pntd.0008786,,2020,PLOS neglected tropical diseases,"Ferro, Ignacio; Bellomo, Carla M.; López, Walter; Coelho, Rocío; Alonso, Daniel; Bruno, Agostina; Córdoba, Francisco E.; Martinez, Valeria P.","Ferro, I. et al. Hantavirus pulmonary syndrome outbreaks associated with climate variability in Northwestern Argentina, 1997–2017. PLoS Negl Trop Dis 14, e0008786 (2020).",PLOS Neglected Tropical Diseases,,1935-2735,https://dx.plos.org/10.1371/journal.pntd.0008786,6/10/24 13:02,6/10/24 13:02,e0008786,11,14,PLoS Negl Trop Dis
82,Hierarchical Bayesian Spatio–Temporal Analysis of Climatic and Socio–Economic Determinants of Rocky Mountain Spotted Fever,10.1371/journal.pone.0150180,,2016,PLOS One,"Raghavan, Ram K.; Goodin, Douglas G.; Neises, Daniel; Anderson, Gary A.; Ganta, Roman R.","Raghavan, R. K., Goodin, D. G., Neises, D., Anderson, G. A. & Ganta, R. R. Hierarchical Bayesian Spatio–Temporal Analysis of Climatic and Socio–Economic Determinants of Rocky Mountain Spotted Fever. PLoS ONE 11, e0150180 (2016).",PLOS ONE,,1932-6203,https://dx.plos.org/10.1371/journal.pone.0150180,6/10/24 13:02,6/10/24 13:02,e0150180,3,11,PLoS ONE
86,"How Socio-Environmental Factors Are Associated with Japanese Encephalitis in Shaanxi, China—A Bayesian Spatial Analysis",10.3390/ijerph15040608,,2018,Environmental and Public Health,"Zhang, Shaobai; Hu, Wenbiao; Qi, Xin; Zhuang, Guihua","Zhang, S., Hu, W., Qi, X. & Zhuang, G. How Socio-Environmental Factors Are Associated with Japanese Encephalitis in Shaanxi, China—A Bayesian Spatial Analysis. IJERPH 15, 608 (2018).",International Journal of Environmental Research and Public Health,,1660-4601,https://www.mdpi.com/1660-4601/15/4/608,6/10/24 13:02,6/10/24 13:02,608,4,15,IJERPH
87,Hydroclimatic drivers of highly seasonal leptospirosis incidence suggest prominent soil reservoir of pathogenic Leptospira spp. in rural western China,https://doi.org/10.1371/journal.pntd.0007968,,2019,PLOS neglected tropical diseases,"Cucchi, Karina; Liu, Runyou; Collender, Philip A.; Cheng, Qu; Li, Charles; Hoover, Christopher M.; Chang, Howard H.; Liang, Song; Yang, Changhong; Remais, Justin V.","Cucchi, K. et al. Hydroclimatic drivers of highly seasonal leptospirosis incidence suggest prominent soil reservoir of pathogenic Leptospira spp. in rural western China. PLoS Negl Trop Dis 13, e0007968 (2019).",PLOS Neglected Tropical Diseases,,1935-2735,https://dx.plos.org/10.1371/journal.pntd.0007968,6/10/24 14:50,6/10/24 14:50,e0007968,12,13,PLoS Negl Trop Dis
90,"Impact of meteorological factors on hemorrhagic fever with renal syndrome in 19 cities in China, 2005–2014",https://doi.org/10.1016/j.scitotenv.2018.04.407,,2018,Science of The Total Environment,"Xiang, Jianjun; Hansen, Alana; Liu, Qiyong; Tong, Michael Xiaoliang; Liu, Xiaobo; Sun, Yehuan; Cameron, Scott; Hanson-Easey, Scott; Han, Gil-Soo; Williams, Craig; Weinstein, Philip; Bi, Peng","Xiang, J. et al. Impact of meteorological factors on hemorrhagic fever with renal syndrome in 19 cities in China, 2005–2014. Science of The Total Environment 636, 1249–1256 (2018).",Science of The Total Environment,,489697,https://linkinghub.elsevier.com/retrieve/pii/S0048969718316061,6/10/24 13:02,6/10/24 13:02,1249-1256,,636,Science of The Total Environment
92,Increasing Incidence of Canine Leptospirosis in Switzerland,10.3390/ijerph110707242,,2014,Environmental Research and Public Health,"Major, Andrea; Schweighauser, Ariane; Francey, Thierry","Major, A., Schweighauser, A. & Francey, T. Increasing Incidence of Canine Leptospirosis in Switzerland. IJERPH 11, 7242–7260 (2014).",International Journal of Environmental Research and Public Health,,1660-4601,https://www.mdpi.com/1660-4601/11/7/7242,6/10/24 13:03,6/10/24 13:03,7242-7260,7,11,IJERPH
93,Influence of climate variability on human leptospirosis cases in Jamaica,10.3354/cr01120,,2012,Climate Research,"Batchelor, Twk; Stephenson, Ts; Brown, Pd; Amarakoon, D; Taylor, Ma","Batchelor, T., Stephenson, T., Brown, P., Amarakoon, D. & Taylor, M. Influence of climate variability on human leptospirosis cases in Jamaica. Clim. Res. 55, 79–90 (2012).",Climate Research,,"0936-577X, 1616-1572",http://www.int-res.com/abstracts/cr/v55/n1/p79-90/,6/10/24 14:50,6/10/24 14:50,79-90,1,55,Clim. Res.
95,Interacting effects of land use and climate on rodent-borne pathogens in central Kenya,http://dx.doi.org/10.1098/rstb.2016.0116,,2017,Philosophical Transaction of the Royal Society B: Biological Sciences,"Young, Hillary S.; McCauley, Douglas J.; Dirzo, Rodolfo; Nunn, Charles L.; Campana, Michael G.; Agwanda, Bernard; Otarola-Castillo, Erik R.; Castillo, Eric R.; Pringle, Robert M.; Veblen, Kari E.; Salkeld, Daniel J.; Stewardson, Kristin; Fleischer, Robert; Lambin, Eric F.; Palmer, Todd M.; Helgen, Kristofer M.","Young, H. S. et al. Interacting effects of land use and climate on rodent-borne pathogens in central Kenya. Phil. Trans. R. Soc. B 372, 20160116 (2017).",Philosophical Transactions of the Royal Society B: Biological Sciences,,"0962-8436, 1471-2970",https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0116,6/10/24 14:50,6/10/24 14:50,20160116,1722,372,Phil. Trans. R. Soc. B
96,Interannual cycles of Hantaan virus outbreaks at the human–animal interface in Central China are controlled by temperature and rainfall,https://doi.org/10.1073/pnas.1701777114,,2017,"√Ç¬†Proceedings of the National Academy of Sciences, Biological Sciences","Tian, Huaiyu; Yu, Pengbo; Cazelles, Bernard; Xu, Lei; Tan, Hua; Yang, Jing; Huang, Shanqian; Xu, Bo; Cai, Jun; Ma, Chaofeng; Wei, Jing; Li, Shen; Qu, Jianhui; Laine, Marko; Wang, Jingjun; Tong, Shilu; Stenseth, Nils Chr.; Xu, Bing","Tian, H. et al. Interannual cycles of Hantaan virus outbreaks at the human–animal interface in Central China are controlled by temperature and rainfall. Proc. Natl. Acad. Sci. U.S.A. 114, 8041–8046 (2017).",Proceedings of the National Academy of Sciences,,"0027-8424, 1091-6490",https://pnas.org/doi/full/10.1073/pnas.1701777114,6/10/24 13:03,6/10/24 13:03,8041-8046,30,114,Proc. Natl. Acad. Sci. U.S.A.
97,Intrinsic and extrinsic drivers of transmission dynamics of hemorrhagic fever with renal syndrome caused by Seoul hantavirus,https://doi.org/10.1371/journal.pntd.0007757,,2019,PLOS neglected tropical diseases,"Li, Yidan; Cazelles, Bernard; Yang, Guoqing; Laine, Marko; Huang, Zheng X. Y.; Cai, Jun; Tan, Hua; Stenseth, Nils Chr.; Tian, Huaiyu","Li, Y. et al. Intrinsic and extrinsic drivers of transmission dynamics of hemorrhagic fever with renal syndrome caused by Seoul hantavirus. PLoS Negl Trop Dis 13, e0007757 (2019).",PLOS Neglected Tropical Diseases,,1935-2735,https://dx.plos.org/10.1371/journal.pntd.0007757,6/10/24 13:03,6/10/24 13:03,e0007757,9,13,PLoS Negl Trop Dis
98,"Investigating the effects of climatic variables and reservoir on the incidence of hemorrhagic fever with renal syndrome in Huludao City, China: a 17-year data analysis based on structure equation model",10.1186/1471-2334-9-109,,2009,BMC Infectious Diseases,"Guan, Peng; Huang, Desheng; He, Miao; Shen, Tiefeng; Guo, Junqiao; Zhou, Baosen","Guan, P. et al. Investigating the effects of climatic variables and reservoir on the incidence of hemorrhagic fever with renal syndrome in Huludao City, China: a 17-year data analysis based on structure equation model. BMC Infect Dis 9, 109 (2009).",BMC Infectious Diseases,,1471-2334,https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-9-109,6/10/24 13:04,6/10/24 13:04,109,1,9,BMC Infect Dis
99,"Investigating the Effects of Food Available and Climatic Variables on the Animal Host Density of Hemorrhagic Fever with Renal Syndrome in Changsha, China",10.1371/journal.pone.0061536,,2013,PLOS One,"Xiao, Hong; Liu, Hai-Ning; Gao, Li-Dong; Huang, Cun-Rui; Li, Zhou; Lin, Xiao-Ling; Chen, Bi-Yun; Tian, Huai-Yu","Xiao, H. et al. Investigating the Effects of Food Available and Climatic Variables on the Animal Host Density of Hemorrhagic Fever with Renal Syndrome in Changsha, China. PLoS ONE 8, e61536 (2013).",PLoS ONE,,1932-6203,https://dx.plos.org/10.1371/journal.pone.0061536,6/10/24 13:04,6/10/24 13:04,e61536,4,8,PLoS ONE
100,Japanese Encephalitis and Associated Environmental Risk Factors in Eastern Uttar Pradesh: A time series analysis from 2001 to 2016,https://doi.org/10.1016/j.actatropica.2020.105701,,2020,Acta Tropica,"Singh, Himangi; Singh, Nidhi; Mall, R K","Singh, H., Singh, N. & Mall, R. K. Japanese Encephalitis and Associated Environmental Risk Factors in Eastern Uttar Pradesh: A time series analysis from 2001 to 2016. Acta Tropica 212, 105701 (2020).",Acta Tropica,,0001706X,https://linkinghub.elsevier.com/retrieve/pii/S0001706X20308329,6/10/24 13:05,6/10/24 13:05,105701,,212,Acta Tropica
101,Japanese Encephalitis Risk and Contextual Risk Factors in Southwest China: A Bayesian Hierarchical Spatial and Spatiotemporal Analysis,10.3390/ijerph110404201,,2014,Environmental Research and Public Health,"Zhao, Xing; Cao, Mingqin; Feng, Hai-Huan; Fan, Heng; Chen, Fei; Feng, Zijian; Li, Xiaosong; Zhou, Xiao-Hua","Zhao, X. et al. Japanese Encephalitis Risk and Contextual Risk Factors in Southwest China: A Bayesian Hierarchical Spatial and Spatiotemporal Analysis. IJERPH 11, 4201–4217 (2014).",International Journal of Environmental Research and Public Health,,1660-4601,https://www.mdpi.com/1660-4601/11/4/4201,6/10/24 13:05,6/10/24 13:05,4201-4217,4,11,IJERPH
102,Landscape and Regional Environmental Analysis of the Spatial Distribution of Hantavirus Human Cases in Europe,10.3389/fpubh.2015.00054,,2015,Frontiers in Public Health,"Zeimes, Caroline Brigitte; Quoilin, Sophie; Henttonen, Heikki; Lyytikäinen, Outi; Vapalahti, Olli; Reynes, Jean-Marc; Reusken, Chantal; Swart, Arnaud N.; Vainio, Kirsti; Hjertqvist, Marika; Vanwambeke, Sophie O.","Zeimes, C. B. et al. Landscape and Regional Environmental Analysis of the Spatial Distribution of Hantavirus Human Cases in Europe. Front. Public Health 3, (2015).",Frontiers in Public Health,,2296-2565,http://journal.frontiersin.org/Article/10.3389/fpubh.2015.00054/abstract,6/10/24 13:05,6/10/24 13:05,,,3,Front. Public Health
103,"Incidência da leptospirose em uma capital da Amazônia Ocidental brasileira e sua relação com a variabilidade climática e ambiental, entre os anos de 2008 e 2013*",10.5123/S1679-49742019000100009,,2019,Epidemiologia e Servi√É¬ßos de Sa√É¬∫de√Ç¬†,"Duarte, Juliana Lúcia; Giatti, Leandro Luiz","Duarte, J. L. & Giatti, L. L. Incidência da leptospirose em uma capital da Amazônia Ocidental brasileira e sua relação com a variabilidade climática e ambiental, entre os anos de 2008 e 2013*. Epidemiologia e Serviços de Saúde 28, (2019).",Epidemiologia e Serviços de Saúde,,1679-4974,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-96222019000100305&lng=pt&nrm=iso.,6/10/24 13:05,6/10/24 13:05,,1,28,Epidemiologia e Serviços de Saúde
104,"Leptospirosis Outbreak After the 2014 Major Flooding Event in Kelantan, Malaysia: A Spatial-Temporal Analysis",10.4269/ajtmh.16-0922,,2018,American Journal of Tropical Medicine and Hygiene,"Mohd Radi, Mohd Firdaus; Hashim, Jamal Hisham; Jaafar, Mohd Hasni; Hod, Rozita; Ahmad, Norfazilah; Mohammed Nawi, Azmawati; Baloch, Gul Muhammad; Ismail, Rohaida; Farakhin Ayub, Nur Izzah","Mohd Radi, M. F. et al. Leptospirosis Outbreak After the 2014 Major Flooding Event in Kelantan, Malaysia: A Spatial-Temporal Analysis. The American Journal of Tropical Medicine and Hygiene 98, 1281–1295 (2018).",The American Journal of Tropical Medicine and Hygiene,,"0002-9637, 1476-1645",https://ajtmh.org/doi/10.4269/ajtmh.16-0922,6/10/24 13:05,6/10/24 13:05,1281-1295,5,98,
105,"Mapping the Distribution of Anthrax in Mainland China, 2005–2013",10.1371/journal.pntd.0004637,,2016,PLOS neglected tropical diseases,"Chen, Wan-Jun; Lai, Sheng-Jie; Yang, Yang; Liu, Kun; Li, Xin-Lou; Yao, Hong-Wu; Li, Yu; Zhou, Hang; Wang, Li-Ping; Mu, Di; Yin, Wen-Wu; Fang, Li-Qun; Yu, Hong-Jie; Cao, Wu-Chun","Chen, W.-J. et al. Mapping the Distribution of Anthrax in Mainland China, 2005–2013. PLoS Negl Trop Dis 10, e0004637 (2016).",PLOS Neglected Tropical Diseases,,1935-2735,https://dx.plos.org/10.1371/journal.pntd.0004637,6/10/24 13:05,6/10/24 13:05,e0004637,4,10,PLoS Negl Trop Dis
108,"Meteorological Conditions Associated with Increased Incidence of West Nile Virus Disease in the United States, 2004–2012",10.4269/ajtmh.14-0737,,2015,American Journal of Tropical Medicine and Hygiene,"Nasci, Roger S.; Delorey, Mark J.; Eisen, Rebecca J.; Monaghan, Andrew J.; Fischer, Marc; Hayden, Mary H.; Hahn, Micah B.; Lindsey, Nicole P.","Nasci, R. S. et al. Meteorological Conditions Associated with Increased Incidence of West Nile Virus Disease in the United States, 2004–2012. The American Journal of Tropical Medicine and Hygiene 92, 1013–1022 (2015).",The American Journal of Tropical Medicine and Hygiene,,"0002-9637, 1476-1645",https://ajtmh.org/doi/10.4269/ajtmh.14-0737,6/10/24 13:06,6/10/24 13:06,1013-1022,5,92,
109,"Meteorological factors affecting scrub typhus occurrence: a retrospective study of Yamagata Prefecture, Japan, 1984–2014",10.1017/S0950268816002430,,2017,Epidemiology and Infection,"Seto, J.; Suzuki, Y.; Nakao, R.; Otani, K.; Yahagi, K.; Mizuta, K.","Seto, J. et al. Meteorological factors affecting scrub typhus occurrence: a retrospective study of Yamagata Prefecture, Japan, 1984–2014. Epidemiol. Infect. 145, 462–470 (2017).",Epidemiology and Infection,,"0950-2688, 1469-4409",https://www.cambridge.org/core/product/identifier/S0950268816002430/type/journal_article,6/10/24 13:06,6/10/24 13:06,462-470,3,145,Epidemiol. Infect.
110,"Meteorological factors and risk of hemorrhagic fever with renal syndrome in Guangzhou, southern China, 2006–2015",https://doi.org/10.1371/journal.pntd.0006604,,2018,PLOS neglected tropical diseases,"Wei, Yuehong; Wang, Yang; Li, Xiaoning; Qin, Pengzhe; Lu, Ying; Xu, Jianmin; Chen, Shouyi; Li, Meixia; Yang, Zhicong","Wei, Y. et al. Meteorological factors and risk of hemorrhagic fever with renal syndrome in Guangzhou, southern China, 2006–2015. PLoS Negl Trop Dis 12, e0006604 (2018).",PLOS Neglected Tropical Diseases,,1935-2735,https://dx.plos.org/10.1371/journal.pntd.0006604,6/10/24 13:06,6/10/24 13:06,e0006604,6,12,PLoS Negl Trop Dis
111,"Meteorological factors and risk of scrub typhus in Guangzhou, southern China, 2006–2012",10.1186/1471-2334-14-139,,2014,BMC Infectious Diseases,"Li, Tiegang; Yang, Zhicong; Dong, Zhiqiang; Wang, Ming","Li, T., Yang, Z., Dong, Z. & Wang, M. Meteorological factors and risk of scrub typhus in Guangzhou, southern China, 2006–2012. BMC Infect Dis 14, 139 (2014).",BMC Infectious Diseases,,1471-2334,https://bmcinfectdis.biomedcentral.com/articles/10.1186/1471-2334-14-139,6/10/24 13:06,6/10/24 13:06,139,1,14,BMC Infect Dis
