Disease,Synonyms used,Database,Zoonotic metric,Search terms,Total returns,Titles evaluated,Titles sought for retrieval,Total number of articles for each disease,New studies found,Duplicates,Total number for study ,Dates searched
Anthrax,Splenic fever,Scholar,Every metric,(Anthrax OR Splenic fever) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),21700,50,5,22,3,2,,11/17/22
Anthrax,Splenic fever,PubMed,Every metric,((((Anthrax) OR (Splenic fever)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),40,40,6,23,1,5,562,11/17/22
Zoonotic Influenza,"Avian influenza, Swine Influenza",Scholar,Abundance,(Zoonotic influenza OR Swine Influenza OR Avian influenza) AND (Climat*) AND (Abundance),8020,50,6,6,6,0,,11/17/22
Zoonotic Influenza,"Avian influenza, Swine Influenza",PubMed,Abundance,((((Zoonotic influenza) OR (Avian influenza)) OR (Swine influenza)) AND (Climat*)) AND (Abundance),8,8,5,9,3,2,,11/17/22
Zoonotic Influenza,"Avian influenza, Swine Influenza",Scholar,Seroprevalence,(zoonotic influenza OR Swine Influenza OR Avian influenza) AND (Climat*) AND (Seroprevalence,13600,50,8,14,5,3,,11/17/22
Zoonotic Influenza,"Avian influenza, Swine Influenza",PubMed,Seroprevalence,((((Zoonotic influenza) OR (Avian influenza)) OR (Swine influenza)) AND (Climat*)) AND (Seroprevalence),8,8,0,14,0,0,,11/17/22
Zoonotic Influenza,"Avian influenza, Swine Influenza",Scholar,Cases Or Incidence,(zoonotic influenza OR Swine Influenza OR Avian influenza) AND (Climat*) AND (Cases OR Incidence),17700,50,5,17,3,2,,11/17/22
Zoonotic Influenza,"Avian influenza, Swine Influenza",PubMed,Cases Or Incidence,((((Zoonotic influenza) OR (Avian influenza)) OR (Swine influenza)) AND (Climat*)) AND ((Cases) OR (Incidence)),419,50,11,26,9,2,,11/17/22
Zoonotic Influenza,"Avian influenza, Swine Influenza",Scholar,Every metric,(zoonotic influenza OR Swine Influenza OR Avian influenza) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),17300,50,2,27,1,1,,11/17/22
Zoonotic Influenza,"Avian influenza, Swine Influenza",PubMed,Every metric,((((Zoonotic influenza) OR (Avian influenza)) OR (Swine influenza)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),423,50,15,32,5,10,594,11/17/22
Plague,n/a,Scholar,Abundance,(Plague) AND (Climat*) AND (Abundance),84800,50,17,12,12,5,,11/17/22
Plague,n/a,PubMed,Abundance,((Plague) AND (Climat*)) AND (Abundance),20,20,4,14,2,2,,11/17/22
Plague,n/a,Scholar,Seroprevalence,(Plague) AND (Climat*) AND (Seroprevalence),2540,50,9,20,6,3,,11/17/22
Plague,n/a,PubMed,Seroprevalence,((Plague) AND (Climat*)) AND (Seroprevalence),3,3,3,20,0,3,,11/17/22
Plague,n/a,Scholar,Cases Or Incidence,(Plague) AND (Climate*) AND (Cases OR Incidence),233000,50,19,30,10,9,,11/17/22
Plague,n/a,PubMed,Cases Or Incidence,((Plague) AND (Climat*)) AND ((Cases) OR (Incidence)),103,50,11,36,6,5,,11/17/22
Plague,n/a,Scholar,Every metric,(Plague) AND (Climate*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),245000,50,15,36,0,15,,11/17/22
Plague,n/a,PubMed,Every metric,((Plague) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),112,50,10,40,4,6,634,11/17/22
Argentine Hemorrhagic fever,"Argentine haemorrhagic fever, Junin virus, Andes virus",Scholar,Abundance,(Argentine hemorrhagic fever OR Argentine haemorrhagic fever OR Andes virus OR Junin virus) AND (Climate*) AND (Abundance),2280,50,6,5,5,1,,11/17/22
Argentine Hemorrhagic fever,"Argentine haemorrhagic fever, Junin virus, Andes virus",PubMed,Abundance,(((((Argentine hemorrhagic fever) OR (Argentine haemorrhagic fever)) OR (Junin virus)) OR (Andes virus)) AND (Climat*)) AND (Abundance),29,29,0,5,0,0,,11/17/22
Argentine Hemorrhagic fever,"Argentine haemorrhagic fever, Junin virus, Andes virus",Scholar,Seroprevalence,(Argentine hemorrhagic fever OR Argentine haemorrhagic fever OR Andes virus OR Junin virus) AND (Climate*) AND (Seroprevalence),3650,50,1,5,0,1,,11/17/22
Argentine Hemorrhagic fever,"Argentine haemorrhagic fever, Junin virus, Andes virus",PubMed,Seroprevalence,(((((Argentine hemorrhagic fever) OR (Argentine haemorrhagic fever)) OR (Junin virus)) OR (Andes virus)) AND (Climat*)) AND (Seroprevalence),13,13,1,6,1,0,,11/17/22
Argentine Hemorrhagic fever,"Argentine haemorrhagic fever, Junin virus, Andes virus",Scholar,Cases Or Incidence,(Argentine hemorrhagic fever OR Argentine haemorrhagic fever OR Andes virus OR Junin virus) AND (Climate*) AND (Cases OR Incidence),5120,50,0,6,0,0,,11/17/22
Argentine Hemorrhagic fever,"Argentine haemorrhagic fever, Junin virus, Andes virus",PubMed,Cases Or Incidence,(((((Argentine hemorrhagic fever) OR (Argentine haemorrhagic fever)) OR (Junin virus)) OR (Andes virus)) AND (Climat*)) AND ((Cases) OR (Incidence)),122,50,0,6,0,0,,11/17/22
Argentine Hemorrhagic fever,"Argentine haemorrhagic fever, Junin virus, Andes virus",Scholar,Every metric,(Argentine hemorrhagic fever OR Argentine haemorrhagic fever OR Andes virus OR Junin virus) AND (Climate*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),4890,50,0,6,0,0,,11/17/22
Argentine Hemorrhagic fever,"Argentine haemorrhagic fever, Junin virus, Andes virus",PubMed,Every metric,(((((Argentine hemorrhagic fever) OR (Argentine haemorrhagic fever)) OR (Junin virus)) OR (Andes virus)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),129,50,6,10,4,2,644,11/17/22
Cowpox,n/a,Scholar,Abundance,(Cowpox) AND (Climat*) AND (Abundance),2250,50,9,7,7,2,,11/17/22
Cowpox,n/a,PubMed,Abundance,(Cowpox) AND (Climat*) AND (Abundance),0,0,0,7,0,0,,11/17/22
Cowpox,n/a,Scholar,Seroprevalence,(Cowpox) AND (Climat*) AND (Seroprevalence),1860,50,4,11,4,0,,11/17/22
Cowpox,n/a,PubMed,Seroprevalence,((Cowpox) AND (Climat)) AND (Seroprevalence),5,0,0,11,0,0,,11/17/22
Cowpox,n/a,Scholar,Cases Or Incidence,(Cowpox) AND (Climate*) AND (Cases OR Incidence),5140,50,0,11,0,0,,11/17/22
Cowpox,n/a,PubMed,Cases Or Incidence,((Cowpox) AND (Climat)) AND ((Cases) OR (Incidence)),11,11,0,11,0,0,,11/17/22
Cowpox,n/a,Scholar,Every metric,(Cowpox) AND (Climate*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),5200,50,0,11,0,0,,11/17/22
Cowpox,n/a,PubMed,Every metric,((Cowpox) AND (Climat)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),12,12,2,12,1,1,656,11/17/22
Marburg virus,ravn virus,Scholar,Abundance,(Marburg virus* OR ravn virus*) AND (Climat*) AND (Abundance),2790,50,6,5,5,1,,11/17/22
Marburg virus,ravn virus,PubMed,Abundance,(((Marburg virus*) OR (Ravn virus*)) AND (Climat*)) AND (Abundance),0,0,0,5,0,0,,11/17/22
Marburg virus,ravn virus,Scholar,Seroprevalence,(Marburg virus* OR RAVN virus*) AND (Climat*) AND (Seroprevalence),3410,50,5,9,4,1,,11/17/22
Marburg virus,ravn virus,PubMed,Seroprevalence,(((Marburg virus*) OR (Ravn virus*)) AND (Climat*)) AND (Seroprevalence),0,0,0,9,0,0,,11/17/22
Marburg virus,ravn virus,Scholar,Cases Or Incidence,(Marburg virus* OR RAVN virus*) AND (Climat*) AND (Cases OR Incidence),7130,50,6,13,4,2,,11/17/22
Marburg virus,ravn virus,PubMed,Cases Or Incidence,(((Marburg virus*) OR (Ravn virus*)) AND (Climat*)) AND ((Cases) OR (Incidence)),7,7,0,13,0,0,,11/17/22
Marburg virus,ravn virus,Scholar,Every metric,(Marburg virus* OR RAVN virus*) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),6940,50,7,14,1,6,,11/17/22
Marburg virus,ravn virus,PubMed,Every metric,(((Marburg virus*) OR (Ravn virus*)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),7,7,0,14,0,0,670,11/17/22
Encephalitis, Tick-borne encephalitis,Scholar,Abundance,(Encephalitis OR Tick-borne encephalitis) AND (Climat*) AND (Abundance),17600,50,21,18,18,3,,11/17/22
Encephalitis,Tick-borne encephalitis,PubMed,Abundance,(((Encephalitis) OR (Tick-borne encephalitis)) AND (Climat*)) AND (Abundance),95,50,9,23,5,4,,11/17/22
Encephalitis,Tick-borne encephalitis,Scholar,Seroprevalence,(Encephalitis OR Tick-borne encephalitis) AND (Climat*) AND (Seroprevalence),18500,50,9,27,4,5,,11/17/22
Encephalitis,Tick-borne encephalitis,PubMed,Seroprevalence,(((Encephalitis) OR (Tick-borne encephalitis)) AND (Climat*)) AND (Seroprevalence),26,26,0,27,0,0,,11/17/22
Encephalitis,Tick-borne encephalitis,Scholar,Cases Or Incidence,(Encephalitis OR Tick-borne encephalitis) AND (Climat*) AND (Cases OR Incidence),19100,50,16,37,10,6,,11/17/22
Encephalitis,Tick-borne encephalitis,PubMed,Cases Or Incidence,(((Encephalitis) OR (Tick-borne encephalitis)) AND (Climat*)) AND ((Cases) OR (Incidence)),481,50,5,38,1,4,,11/17/22
Encephalitis,Tick-borne encephalitis,Scholar,Every metric,(Encephalitis OR Tick-borne encephalitis) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),18600,50,19,42,4,15,,11/17/22
Encephalitis,Tick-borne encephalitis,PubMed,Every metric,(((Encephalitis) OR (Tick-borne encephalitis)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),501,50,7,43,1,6,713,11/17/22
Venezuelan equine encephalitis,n/a,Scholar,Abundance,(Venezuelan equine encephalitis) AND (Climat*) AND (Abundance),2240,50,2,2,2,0,,11/17/22
Venezuelan equine encephalitis,n/a,PubMed,Abundance,((Venezuelan equine encephalitis) AND (Climat*)) AND (Abundance*),4,0,0,2,0,0,,11/17/22
Venezuelan equine encephalitis,n/a,Scholar,Seroprevalence,(Venezuelan equine encephalitis) AND (Climat*) AND (Seroprevalence),2400,50,1,3,1,0,,11/17/22
Venezuelan equine encephalitis,n/a,PubMed,Seroprevalence,((Venezuelan equine encephalitis) AND (Climat)) AND (Seroprevalence),2,0,0,3,0,0,,11/17/22
Venezuelan equine encephalitis,n/a,Scholar,Cases Or Incidence,(Venezuelan equine encephalitis) AND (Climat*) AND (Cases OR Incidence),3820,50,3,5,2,1,,11/17/22
Venezuelan equine encephalitis,n/a,PubMed,Cases Or Incidence,((Venezuelan equine encephalitis) AND (climat)) AND ((Cases) OR (Incidence)),18,18,2,5,0,2,,11/17/22
Venezuelan equine encephalitis,n/a,Scholar,Every metric,(Venezuelan equine encephalitis) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),3770,50,4,7,2,2,,11/17/22
Venezuelan equine encephalitis,n/a,PubMed,Every metric,((Venezuelan equine encephalitis) AND (climat)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),10,10,0,7,0,0,720,11/17/22
Japanese encephalitis,n/a,Scholar,Abundance,(Japanese encephalitis) AND (Climat*) AND (Abundance),10600,50,14,12,12,2,,11/17/22
Japanese encephalitis,n/a,PubMed,Abundance,((Japanese encephalitis) AND (Climat*)) AND (Abundance),17,17,8,17,5,3,,11/17/22
Japanese encephalitis,n/a,Scholar,Seroprevalence,(Japanese encephalitis) AND (Climat*) AND (Seroprevalence),13700,50,8,18,1,7,,11/17/22
Japanese encephalitis,n/a,PubMed,Seroprevalence,((Japanese encephalitis) AND (Climat)) AND (Seroprevalence),13,13,2,19,1,1,,11/17/22
Japanese encephalitis,n/a,Scholar,Cases Or Incidence,(Japanese encephalitis) AND (Climat*) AND (Cases OR Incidence),23500,50,19,30,11,8,,11/17/22
Japanese encephalitis,n/a,PubMed,Cases Or Incidence,((Japanese encephalitis) AND (Climat*)) AND ((Cases) OR (Incidence)),95,50,3,30,0,3,,11/17/22
Japanese encephalitis,n/a,Scholar,Every metric,(Japanese encephalitis) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),23500,50,12,32,2,10,,11/17/22
Japanese encephalitis,n/a,PubMed,Every metric,((Japanese encephalitis) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),101,50,8,33,1,7,753,11/17/22
Crimean-Congo hemorrhagic fever,"Nairovirus, Crimean-congo haemorrhagic fever",Scholar,Abundance,(Crimean-congo hemorrhagic fever OR Crimean-congo haemorrhagic fever OR Nairovirus) AND (Climat*) AND (Abundance),1210,50,11,10,10,1,,11/18/22
Crimean-Congo hemorrhagic fever,"Nairovirus, Crimean-congo haemorrhagic fever",PubMed,Abundance,(((((Crimean-congo hemorrhagic fever) ) OR (Crimean-congo haemorrhagic fever)) OR (Nairovirus)) AND (Climat*)) AND (Abundance),11,11,2,12,2,0,,11/18/22
Crimean-Congo hemorrhagic fever,"Nairovirus, Crimean-congo haemorrhagic fever",Scholar,Seroprevalence,(Crimean-congo hemorrhagic fever OR Crimean-congo haemorrhagic fever OR Nairovirus) AND (Climat*) AND (Seroprevalence),1920,50,3,14,2,1,,11/18/22
Crimean-Congo hemorrhagic fever,"Nairovirus, Crimean-congo haemorrhagic fever",PubMed,Seroprevalence,(((((Crimean-congo hemorrhagic fever) ) OR (Crimean-congo haemorrhagic fever)) OR (Nairovirus)) AND (Climat*)) AND (Seroprevalence),5,5,0,14,0,0,,11/18/22
Crimean-Congo hemorrhagic fever,"Nairovirus, Crimean-congo haemorrhagic fever",Scholar,Cases Or Incidence,(Crimean-congo hemorrhagic fever OR Crimean-congo haemorrhagic fever OR Nairovirus) AND (Climat*) AND (Cases OR Incidence),2250,50,6,15,1,5,,11/18/22
Crimean-Congo hemorrhagic fever,"Nairovirus, Crimean-congo haemorrhagic fever",PubMed,Cases Or Incidence,(((((Crimean-congo hemorrhagic fever) ) OR (Crimean-congo haemorrhagic fever)) OR (Nairovirus)) AND (Climat*)) AND (Cases OR Incidence),70,50,7,17,2,5,,11/18/22
Crimean-Congo hemorrhagic fever,"Nairovirus, Crimean-congo haemorrhagic fever",Scholar,Every metric,(Crimean-congo hemorrhagic fever OR Crimean-congo haemorrhagic fever OR Nairovirus) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),2480,50,9,20,3,6,,11/18/22
Crimean-Congo hemorrhagic fever,"Nairovirus, Crimean-congo haemorrhagic fever",PubMed,Every metric,(((((Crimean-congo hemorrhagic fever) ) OR (Crimean-congo haemorrhagic fever)) OR (Nairovirus)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),73,50,6,21,1,5,774,11/18/22
Penicilliosis,n/a,Scholar,Abundance,(Penicilliosis) AND (Climate*) AND (Abundance),18100,50,3,3,3,0,,11/18/22
Penicilliosis,n/a,PubMed,Abundance,((Penicilliosis) AND (Climat*)) AND (Abundance),0,0,0,3,0,0,,11/18/22
Penicilliosis,n/a,Scholar,Seroprevalence,(Penicilliosis) AND (Climat*) AND (Seroprevalence),12400,50,1,4,1,0,,11/18/22
Penicilliosis,n/a,PubMed,Seroprevalence,((Penicilliosis) AND (Climat*)) AND (Seroprevalence),0,0,0,4,0,0,,11/18/22
Penicilliosis,n/a,Scholar,Cases Or Incidence,(Penicilliosis) AND (Climat*) AND (Cases OR Incidence),18700,50,1,5,1,0,,11/18/22
Penicilliosis,n/a,PubMed,Cases Or Incidence,((Penicilliosis) AND (Climat*)) AND ((Cases) OR (Incidence)),1,1,0,5,0,0,,11/18/22
Penicilliosis,n/a,Scholar,Every metric,(Penicilliosis) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),18100,50,3,7,2,1,,11/18/22
Penicilliosis,n/a,PubMed,Every metric,((Penicilliosis) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),1,1,0,7,0,0,781,11/18/22
 Boutonneuse fever,"Kenya tick typhus, Indian tick typhus, Israeli spotted fever, Astrakhan fever",Scholar,Abundance,(Boutonneuse fever OR Kenya tick typhus OR Indian tick typhus OR Israeli spotted fever OR Astrakhan fever) AND (Climat*) AND (Abundance),169,50,2,2,2,0,,11/18/22
 Boutonneuse fever,"Kenya tick typhus, Indian tick typhus, Israeli spotted fever, Astrakhan fever",PubMed,Abundance,((((((boutonneuse fever) OR (Kenya tick typhus)) OR (Indian tick typhus)) OR (Israeli spotted fever)) OR (Astrakhan fever)) AND (Climat*)) AND (Abundance),4,4,1,3,1,0,,11/18/22
 Boutonneuse fever,"Kenya tick typhus, Indian tick typhus, Israeli spotted fever, Astrakhan fever",Scholar,Seroprevalence,(Boutonneuse fever OR Kenya tick typhus OR Indian tick typhus OR Israeli spotted fever OR Astrakhan fever) AND (Climat*) AND (Seroprevalence),258,50,1,4,1,0,,11/18/22
 Boutonneuse fever,"Kenya tick typhus, Indian tick typhus, Israeli spotted fever, Astrakhan fever",PubMed,Seroprevalence,((((((boutonneuse fever) OR (Kenya tick typhus)) OR (Indian tick typhus)) OR (Israeli spotted fever)) OR (Astrakhan fever)) AND (Climat*)) AND (Seroprevalence),1,1,0,4,0,0,,11/18/22
 Boutonneuse fever,"Kenya tick typhus, Indian tick typhus, Israeli spotted fever, Astrakhan fever",Scholar,Cases Or Incidence,Boutonneuse fever OR Kenya tick typhus OR Indian tick typhus OR Israeli spotted fever OR Astrakhan fever) AND (Climat*) AND (Cases OR Incidence),397,50,2,4,0,2,,11/18/22
 Boutonneuse fever,"Kenya tick typhus, Indian tick typhus, Israeli spotted fever, Astrakhan fever",PubMed,Cases Or Incidence,((((((boutonneuse fever) OR (Kenya tick typhus)) OR (Indian tick typhus)) OR (Israeli spotted fever)) OR (Astrakhan fever)) AND (Climat*)) AND (Cases OR Incidence),24,24,8,4,0,8,,11/18/22
 Boutonneuse fever,"Kenya tick typhus, Indian tick typhus, Israeli spotted fever, Astrakhan fever",Scholar,Every metric,Boutonneuse fever OR Kenya tick typhus OR Indian tick typhus OR Israeli spotted fever OR Astrakhan fever) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),347,50,4,4,0,4,,11/18/22
 Boutonneuse fever,"Kenya tick typhus, Indian tick typhus, Israeli spotted fever, Astrakhan fever",PubMed,Every metric,((((((boutonneuse fever) OR (Kenya tick typhus)) OR (Indian tick typhus)) OR (Israeli spotted fever)) OR (Astrakhan fever)) AND (Climat*)) AND (Cases OR Incidence OR Abundance OR Seroprevalence),26,26,8,9,5,3,790,11/18/22
Scrub typhus,"bush typhus, tsutsugamushi disease",Scholar,Abundance,(Scrub typhus OR Bush typhus OR tsutsugamushi disease) AND (Climat*) AND (Abundance),2870,50,21,21,21,0,,11/18/22
Scrub typhus,"bush typhus, tsutsugamushi disease",PubMed,Abundance,((((Scrub Typhus) OR (Bush typhus)) OR (tsutsugamushi disease)) AND (Climat*)) AND (Abundance),3,3,1,21,0,1,,11/18/22
Scrub typhus,"bush typhus, tsutsugamushi disease",Scholar,Seroprevalence,(Scrub typhus OR Bush typhus OR tsutsugamushi disease) AND (Climat*) AND (Seroprevalence),2560,50,11,27,6,5,,11/18/22
Scrub typhus,"bush typhus, tsutsugamushi disease",PubMed,Seroprevalence,((((Scrub Typhus) OR (Bush typhus)) OR (tsutsugamushi disease)) AND (Climat*)) AND (Seroprevalence),2,0,0,27,0,0,,11/18/22
Scrub typhus,"bush typhus, tsutsugamushi disease",Scholar,Cases Or Incidence,(Scrub typhus OR Bush typhus OR tsutsugamushi disease) AND (Climat*) AND (Cases OR Incidence),5460,50,14,30,3,11,,11/18/22
Scrub typhus,"bush typhus, tsutsugamushi disease",PubMed,Cases Or Incidence,((((Scrub Typhus) OR (Bush typhus)) OR (tsutsugamushi disease)) AND (Climat*)) AND ((Cases) OR (Incidence)),45,45,10,33,3,7,,11/18/22
Scrub typhus,"bush typhus, tsutsugamushi disease",Scholar,Every metric,(Scrub typhus OR Bush typhus OR tsutsugamushi disease) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),5550,50,14,35,2,12,,11/18/22
Scrub typhus,"bush typhus, tsutsugamushi disease",PubMed,Every metric,((((Scrub Typhus) OR (Bush typhus)) OR (tsutsugamushi disease)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),46,46,7,36,1,6,826,11/18/22
Psittacosis,ornithosis,Scholar,Abundance,(Psittacosis OR Ornithosis) AND (Climat*) AND (Abundance),649,50,2,2,2,0,,11/18/22
Psittacosis,ornithosis,PubMed,Abundance,(((Psittacosis) OR (Ornithosis)) AND (Climat*)) AND (Abundance),0,0,0,2,0,0,,11/18/22
Psittacosis,ornithosis,Scholar,Seroprevalence,(Psittacosis OR Ornithosis) AND (Climat*) AND (Seroprevalence),1040,50,5,6,4,1,,11/18/22
Psittacosis,ornithosis,PubMed,Seroprevalence,(((Psittacosis) OR (Ornithosis)) AND (Climat*)) AND (Seroprevalence),1,1,0,6,0,0,,11/18/22
Psittacosis,ornithosis,Scholar,Cases Or Incidence,(Psittacosis OR Ornithosis) AND (Climat*) AND (Cases OR Incidence),2740,50,1,6,0,1,,11/18/22
Psittacosis,ornithosis,PubMed,Cases Or Incidence,((Psittacosis) OR(Ornithosis)) AND (Climat*) AND ((Cases) OR (Incidence)),3,3,0,6,0,0,,11/18/22
Psittacosis,ornithosis,Scholar,Every metric,(Psittacosis OR Ornithosis) AND (Climat*) AND (Cases OR Incidence OR Seroprevalence OR Abundance),2820,50,1,7,1,0,,11/18/22
Psittacosis,ornithosis,PubMed,Every metric,((Psittacosis) OR(Ornithosis)) AND (Climat*) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),3,3,0,7,0,0,833,11/18/22
Rickettsiosis,"Brazilian spotted fever, Murine typhus",Scholar,Abundance,(Rickettsiosis OR Brazilian spotted fever OR Murine typhus) AND (Climat*) AND (Abundance),1050,50,3,3,3,0,,11/20/22
Rickettsiosis,"Brazilian spotted fever, Murine typhus",PubMed,Abundance,((((Rickettsiosis) OR (Brazilian spotted fever)) OR (Murine typhus)) AND (Climat*)) AND (Abundance),10,10,3,6,3,0,,11/20/22
Rickettsiosis,"Brazilian spotted fever, Murine typhus",Scholar,Seroprevalence,(Rickettsiosis OR Brazilian spotted fever OR Murine typhus) AND (Climat*) AND (Seroprevalence),1220,50,5,10,4,1,,11/20/22
Rickettsiosis,"Brazilian spotted fever, Murine typhus",PubMed,Seroprevalence,((((Rickettsiosis) OR (Brazilian spotted fever)) OR (Murine typhus)) AND (Climat*)) AND (Seroprevalence),4,4,4,13,3,1,,11/20/22
Rickettsiosis,"Brazilian spotted fever, Murine typhus",Scholar,Cases Or Incidence,(Rickettsiosis OR Brazilian spotted fever OR Murine typhus) AND (Climat*) AND (Cases OR Incidence),1800,50,2,13,0,2,,11/20/22
Rickettsiosis,"Brazilian spotted fever, Murine typhus",PubMed,Cases Or Incidence,((((Rickettsiosis) OR (Brazilian spotted fever)) OR (Murine typhus)) AND (Climat*)) AND ((Cases) OR (Incidence)),90,50,6,15,2,4,,11/20/22
Rickettsiosis,"Brazilian spotted fever, Murine typhus",Scholar,Every metric,(Rickettsiosis OR Brazilian spotted fever OR Murine typhus) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),1870,50,2,17,2,0,,11/20/22
Rickettsiosis,"Brazilian spotted fever, Murine typhus",PubMed,Every metric,((((Rickettsiosis) OR (Brazilian spotted fever)) OR (Murine typhus)) AND (Climat*)) AND ((Cases) OR (Incidence) OR (Abundance) OR (Seroprevalence)),93,50,9,19,2,7,852,11/20/22
Rocky mountain spotted fever,n/a,Scholar,Abundance,(Rocky mountain spotted fever) AND (Climat*) AND (Abundance),19100,50,5,5,5,0,,11/20/22
Rocky mountain spotted fever,n/a,PubMed,Abundance,(Rocky Mountain Spotted Fever) AND (Climat*) AND (Abundance) ,1,1,1,6,1,0,,11/20/22
Rocky mountain spotted fever,n/a,Scholar,Seroprevalence,(Rocky mountain spotted fever) AND (Climat*) AND (Seroprevalence),18000,50,7,12,6,1,,11/20/22
Rocky mountain spotted fever,n/a,PubMed,Seroprevalence,(Rocky mountain spotted fever) AND (Climat*) AND (Seroprevalence),0,0,0,12,0,0,,11/20/22
Rocky mountain spotted fever,n/a,Scholar,Cases Or Incidence,(Rocky mountain spotted fever) AND (Climat*) AND (Cases OR Incidence),19400,50,8,15,3,5,,11/20/22
Rocky mountain spotted fever,n/a,PubMed,Cases Or Incidence,(Rocky mountain spotted fever) AND (Climat*) AND ((Cases) OR (Incidence)),12,12,6,17,2,4,,11/20/22
Rocky mountain spotted fever,n/a,Scholar,Every metric,(Rocky mountain spotted fever) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),18500,50,9,23,6,3,,11/20/22
Rocky mountain spotted fever,n/a,PubMed,Every metric,(Rocky mountain spotted fever) AND (Climat*) AND ((Cases) OR (Incidence) OR (Abudance) OR (Seroprevalence)),12,12,5,24,1,4,876,11/20/22
Menangle virus,Menangle pararubulavirus,Scholar,Abundance,(Menangle virus OR Menangle para rubulavirus) AND (Climat*) AND (Abundance),43,43,0,0,0,0,,11/21/22
Menangle virus,Menangle pararubulavirus,PubMed,Abundance,((Menangle OR Menangle para rubulavirus) AND (Climat*)) AND (Abundance),5,5,0,0,0,0,,11/21/22
Menangle virus,Menangle pararubulavirus,Scholar,Seroprevalence,(Menangle virus OR Menangle para rubulavirus) AND (Climat*) AND (Seroprevalence),70,50,0,0,0,0,,11/21/22
Menangle virus,Menangle pararubulavirus,PubMed,Seroprevalence,((Menangle OR Menangle para rubulavirus) AND (Climat*)) AND (Seroprevalence),1,1,0,0,0,0,,11/21/22
Menangle virus,Menangle pararubulavirus,Scholar,Cases Or Incidence,(Menangle virus OR Menangle para rubulavirus) AND (Climat*) AND (Cases OR Incidence),78,50,4,4,4,0,,11/21/22
Menangle virus,Menangle pararubulavirus,PubMed,Cases Or Incidence,((Menangle OR Menangle para rubulavirus) AND (Climat*)) AND ((Cases OR (Incidence)),2,2,0,4,0,0,,11/21/22
Menangle virus,Menangle pararubulavirus,Scholar,Every metric,(Menangle virus OR Menangle para rubulavirus) AND (Climat*) AND (Cases OR Incidence OR Abundance OR Seroprevalence),82,50,1,5,1,0,,11/21/22
Menangle virus,Menangle pararubulavirus,PubMed,Every metric,((Menangle OR Menangle para rubulavirus) AND (Climat*)) AND ((Cases OR (Incidence) OR (Abundance) OR (Seroprevalence)),7,7,0,5,0,0,881,11/21/22
Venezuelan hemorrhagic fever,"Guanarito hemorrhagic fever, Venezuelan haemorrhagic fever",Scholar,Abundance,(Venezuelan hemorrhagic fever OR Venezuelan haemorrhagic fever OR Guanarito fever) AND (Climat*) AND (Abundance),1480,50,10,8,8,2,,11/21/22
Venezuelan hemorrhagic fever,"Guanarito hemorrhagic fever, Venezuelan haemorrhagic fever",PubMed,Abundance,((((Venezuelan hemorrhagic fever) OR (Venezuelan haemorrhagic fever)) OR (Guanarito fever)) AND (Climat*)) AND (Abundance),0,0,0,8,0,0,,11/21/22
Venezuelan hemorrhagic fever,"Guanarito hemorrhagic fever, Venezuelan haemorrhagic fever",Scholar,Seroprevalence,(Venezuelan hemorrhagic fever OR Venezuelan haemorrhagic fever OR Guanarito fever) AND (Climat*) AND (Seroprevalence),1940,50,4,11,3,1,,11/21/22
