Reference_ID,row_unique,Data_ID,Environmental_condition,General_response,Response,Specific_response,Environmental_metric,General_Disease,Disease,Pathogen,Transmission,Transmission_type,Pathogen_genus,vector,Principal_reservoir,Specific_scale,General_Stats_Method,Statistical_method,N.value,temp_altered,Type,Linear_Nonlinear,R.squared,Value,Lower,Upper,Error,Std._error,P.value_general,P.value_specific,Direction,Direction_statement,DOI,Continent,Country,Location,Latitude_,Longitude,Study_period,Date_published,Dummy,lag_period_months,Notes,Journal,Journal_5yr_Impact,measure,n_method,X,Y,es,se,weight,sample.size,var,ci.lo,ci.hi
123,R291,X464,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Zero-inflated poisson regression,132,NA,Unstandardised coefficient,Linear,NA,0.2369,NA,NA,NA,NA,<0.001,NA,increase,Abstract,10.1371/journal.pone.0084326,Asia,China,Western Chongqing,29.747604,106.719419,1997-2008,2014,1,1,N-value is number of months of study,PLOS One,3.272,NA,64,106.719419,29.747604,0.587186754,0.182546143,NA,132,0.033323094,0.229396314,0.944977194
123,R289,X462,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Zero-inflated poisson regression,132,NA,Unstandardised coefficient,Linear,NA,0.2687,NA,NA,NA,NA,<0.001,NA,increase,Abstract,10.1371/journal.pone.0084326,Asia,China,Middle Chongqing,29.843532,107.661767,1997-2008,2014,1,1,N-value is number of months of study,PLOS One,3.272,NA,64,107.661767,29.843532,0.587186754,0.182546143,NA,132,0.033323094,0.229396314,0.944977194
123,R287,X460,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Arboviral diseases,Japanese encephalitis,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Zero-inflated poisson regression,132,NA,Unstandardised coefficient,Linear,NA,0.3754,NA,NA,NA,NA,<0.001,NA,increase,Abstract,10.1371/journal.pone.0084326,Asia,China,East Chongqing,30.967821,109.393953,1997-2008,2014,1,1,N-value is number of months of study,PLOS One,3.272,NA,64,109.393953,30.967821,0.587186754,0.182546143,NA,132,0.033323094,0.229396314,0.944977194
69,R139,X259,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Arboviral diseases,Crimean congo haemorrhagic fever,Virus,ZVB,Vectored,Orthonairovirus,Tick,Mammals (multispecies),1,GL(M)M,Zero-inflated negative binomial model,144,NA,Incidence rate ratio,Linear,NA,1.055,1.048,1.062,95% Confidence,NA,<0.001,NA,increase,Abstract,10.1186/1471-2458-12-1116,Europe,Bulgaria,NA,NA,NA,1997-2009,2012,1,NA,N-value is number of months of study,BMC Public Health,3.389,g,200,25.4858,42.7339,0.029362389,0.000984516,1031702.647,144,9.69E-07,0.027432773,0.031292005
208,R580,X743,Temperature,Human disease incidence,Cases,Cases,90th percentile of Weekly total,Fecal-oral bacteria/parasites,Giardiasis,Parasite,FWB,Non-vectored,Giardia,NA,Environment,1,DLNM,distributed lag nonlinear model,612,NA,Relative risk,Non-linear,NA,1.03,0.86,1.34,95% Confidence,NA,>0.05,0.54,increase,Results,10.2166/wh.2017.100,North America,Canada,Greater vancouver,49.246292,-123.116226,1997-2009,2017,1,NA,"N-value is number of weeks in study, Selected from figure 2(a)",Journal of Water and Health,1.797,NA,NA,-123.116226,49.246292,0.016276577,0.043599989,526.0502569,612,0.001900959,-0.069177832,0.101730985
208,R581,X744,Precipitation,Human disease incidence,Cases,Cases,Weekly mean,Fecal-oral bacteria/parasites,Giardiasis,Parasite,FWB,Non-vectored,Giardia,NA,Environment,1,DLNM,distributed lag nonlinear model,612,NA,Relative risk,Non-linear,NA,1.13,1.01,1.21,95% Confidence,NA,<0.05,NA,increase,Abstract,10.2166/wh.2017.100,North America,Canada,Greater vancouver,49.246292,-123.116226,1997-2009,2017,1,4,"N-value is number of weeks in study, 3-week moving average",Journal of Water and Health,1.797,NA,NA,-123.116226,49.246292,0.067299232,0.01125161,7898.973389,612,0.000126599,0.045246481,0.089351982
234,R527,X829,Temperature,Host occurrence,Cases,Presence of host,Annual mean,Hantaviral diseases,Andes virus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,10,GL(M)M,Univariate logistic regression,474,NA,Unstandardised coefficient,Linear,NA,-0.00042,NA,NA,NA,NA,<0.001,NA,decrease,Discussion,10.1007/s10393-011-0719-5,South America,Argentina,NA,NA,NA,1997-2009,2011,1,NA,"O. longricaudatus, degrees x 10",EcoHealth,2.323,NA,64,63.6167,38.4161,-0.304341421,0.093071158,NA,474,0.00866224,-0.48676089,-0.121921953
234,R528,X830,Precipitation,Host occurrence,Cases,Presence of host,Annual total,Hantaviral diseases,Andes virus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Univariate logistic regression,474,NA,Unstandardised coefficient,Linear,NA,0.0013,NA,NA,NA,NA,<0.001,NA,increase,Results,10.1007/s10393-011-0719-5,South America,Argentina,NA,NA,NA,1997-2009,2011,1,NA,O. longricaudatus,EcoHealth,2.323,NA,64,63.6167,38.4161,0.304341421,0.093071158,NA,474,0.00866224,0.121921953,0.48676089
81,R169,X293,Precipitation,Human disease incidence,Cases,Log10 transformed Cases,Monthly total,Hantaviral diseases,Hantavirus pulmonary syndrome,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Dynamic regression analysis,240,NA,Correlation coefficient,Linear,0.58,-0.61,-0.77,-0.45,Std. error,0.16,<0.05,NA,decrease,Discussion,https://doi.org/10.1371/journal.pntd.0008786,South America,Argentina,"Salta, Jujuy",NA,NA,1997-2017,2020,1,3,"N-value is number of months of study, Model 4 picked because correlations were significant, Each 1-lag = 1.5 months, Cases log10transformed",PLOS neglected tropical diseases,4.548,g,106,-65.4232,-24.7821,-0.492696174,0.133400079,NA,240,0.017795581,-0.754160329,-0.231232019
81,R168,X292,Temperature,Human disease incidence,Cases,Log10 transformed Cases,Monthly mean,Hantaviral diseases,Hantavirus pulmonary syndrome,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Dynamic regression analysis,240,NA,Correlation coefficient,Linear,NA,0.57,0.46,0.68,Std. error,0.11,<0.05,NA,increase,Discussion,https://doi.org/10.1371/journal.pntd.0008786,South America,Argentina,"Salta, Jujuy",NA,NA,1997-2017,2020,1,1.5,"N-value is number of months of study, Model 4 picked because correlations were significant, Each 1-lag = 1.5 months, Cases log10transformed",PLOS neglected tropical diseases,4.548,g,106,-65.4232,-24.7821,0.669655605,0.136614303,NA,240,0.018663468,0.401891572,0.937419638
143,R371,X554,Precipitation,Host infection,Abundance,Prevalence in host,Driest quarter total,Rabies,Rabies,Virus,Z,Non-vectored,Lyssavirus,NA,Mammals (multispecies),1,GL(M)M,Zero-inflated negative binomial model,8464,NA,Unstandardised coefficient,Linear,NA,0.054,0.029,0.079,Std. error,0.025,<0.05,3.40E-02,increase,Abstract,https://doi.org/10.1371/journal.pntd.0010464,Africa,South Africa,NA,NA,NA,1998-2002,2022,1,NA,NA,PLOS neglected tropical diseases,4.548,g,106,22.9375,-30.5595,0.046957908,0.02174705,NA,8464,0.000472934,0.004333691,0.089582125
143,R370,X553,Temperature,Host infection,Abundance,Prevalence in host,Driest quarter mean,Rabies,Rabies,Virus,Z,Non-vectored,Lyssavirus,NA,Mammals (multispecies),1,GL(M)M,Zero-inflated negative binomial model,8464,NA,Unstandardised coefficient,Linear,NA,0.056,-0.033,0.145,Std. error,0.089,>0.05,0.53,increase,Abstract,https://doi.org/10.1371/journal.pntd.0010464,Africa,South Africa,NA,NA,NA,1998-2002,2022,1,NA,NA,PLOS neglected tropical diseases,4.548,g,106,22.9375,-30.5595,0.013678958,0.021741566,NA,8464,0.000472696,-0.028934511,0.056292426
197,R569,X720,Precipitation,Human disease incidence,Cases,Hospitalisation rates,Daily total,Leptospirosis,Leptospirosis,Bacteria,Z,Non-vectored,Leptospira,NA,Rodents,1,GL(M)M,Negative binomial regression,1977,NA,NA,Non-linear,NA,NA,NA,NA,95% CI,NA,NA,NA,NA,Abstract,10.1007/s00484-011-0419-4,South America,Brazil,Sao paulo,-23.533773,-46.62529,1998-2005,2011,1,NA,Table says an increase in hospital rates of 15% for every 20mm increase in precip.,International Journal of Biometeorology,3.413,NA,NA,-46.62529,-23.533773,NA,NA,NA,NA,NA,NA,NA
132,R346,X521,Temperature,Human disease incidence,Cases,Cases,Monthly mean,Leptospirosis,Leptospirosis,Bacteria,Z,Non-vectored,Leptospira,NA,Rodents,1,(S)ARIMA,Best-fitting Autoregressive integrated moving average models,131,NA,Unstandardised coefficient,Linear,NA,0.145,0.076,0.214,Std. error,0.069,<0.05,3.43E-02,increase,Discussion,10.1371/journal.pone.0020377,Africa,France,Reunion island,-21.133831,55.535504,1998-2008,2011,1,NA,N-value is number of months in study,PLOS One,3.272,g,106,55.535504,-21.133831,0.367888984,0.178729809,NA,131,0.031944345,0.017578559,0.718199409
132,R347,X522,Precipitation,Human disease incidence,Cases,Cases,Monthly total,Leptospirosis,Leptospirosis,Bacteria,Z,Non-vectored,Leptospira,NA,Rodents,1,(S)ARIMA,Best-fitting Autoregressive integrated moving average models,131,NA,Unstandardised coefficient,Linear,NA,3.836,2.391,5.282,Std. error,1.445,<0.01,7.90E-03,increase,Discussion,10.1371/journal.pone.0020377,Africa,France,Reunion island,-21.133831,55.535504,1998-2008,2011,1,2,N-value is number of months in study,PLOS One,3.272,g,106,55.535504,-21.133831,0.46473847,0.180483631,NA,131,0.032574341,0.110990554,0.818486386
236,R529,X833,Temperature,Human disease incidence,Incidence,Spatial presence of disease,Annual mean,Hantaviral diseases,Haemorrhagic fever with renal syndrome,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Poisson regression,140,NA,Percent change,Linear,NA,7.7,-87.6,836.5,95% Confidence,NA,>0.05,0.947,increase,Results,10.1186/1471-2334-14-301,Asia,China,Changchun,43.891262,125.331345,1998-2012,2014,1,NA,N-value is number of counties (10) * number of years in study. Temporal associations also available,BMC Infectious Diseases,3.147,g,200,125.331345,43.891262,0.152516385,0.169279108,34.8974163,140,0.028655417,-0.179264571,0.484297341
97,R190,X356,Temperature,Host abundance,Abundance,Host abundance,Monthly mean,Hantaviral diseases,Seoul hantavirus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,Correlation,Pearson correlation,204,NA,Correlation coefficient,Linear,NA,0.23,NA,NA,NA,NA,<0.05,NA,increase,Results,https://doi.org/10.1371/journal.pntd.0007757,Asia,China,Huludao city,40.711052,120.836929,1998-2015,2019,1,3,N-value is number of months of study,PLOS neglected tropical diseases,4.548,NA,200,120.836929,40.711052,0.470914895,0.144416416,NA,204,0.020856101,0.18785872,0.75397107
97,R192,X358,Humidity,Host abundance,Abundance,Host abundance,Monthly absolute,Hantaviral diseases,Seoul hantavirus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,Correlation,Pearson correlation,204,NA,Correlation coefficient,Linear,0.5,0.24,NA,NA,NA,NA,<0.05,NA,increase,Abstract,https://doi.org/10.1371/journal.pntd.0007757,Asia,China,Huludao city,40.711052,120.836929,1998-2015,2019,1,4,N-value is number of months of study,PLOS neglected tropical diseases,4.548,NA,200,120.836929,40.711052,0.492613277,0.14477609,NA,204,0.020960116,0.208852141,0.776374412
97,R191,X357,Precipitation,Host abundance,Abundance,Host abundance,Monthly total,Hantaviral diseases,Seoul hantavirus,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,Correlation,Pearson correlation,204,NA,Correlation coefficient,Linear,NA,0.28,NA,NA,NA,NA,<0.05,NA,increase,Results,https://doi.org/10.1371/journal.pntd.0007757,Asia,China,Huludao city,40.711052,120.836929,1998-2015,2019,1,4,N-value is number of months of study,PLOS neglected tropical diseases,4.548,NA,200,120.836929,40.711052,0.581164808,0.146400732,NA,204,0.021433174,0.294219373,0.868110242
214n,R646,X897,Temperature,Human disease incidence,Incidence,Incidence,Annual mean temperature,Q-fever,Q-fever,Bacteria,Z,Non-vectored,Coxiella,NA,Livestock,1,Correlation,Spearman rank correlation,18,NA,Correlation coefficient,Linear,NA,0.01,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,Finland_Russia,68.6,29.7,1998-2015,2021,1,NA,S1 heatmap,Scientific Reports,NA,new,NA,NA,NA,0.019048572,0.491832001,NA,18,0.241898717,-0.944942151,0.983039294
214n,R647,X898,Temperature,Human disease incidence,Incidence,Incidence,Annual maximum temperature,Q-fever,Q-fever,Bacteria,Z,Non-vectored,Coxiella,NA,Livestock,1,Correlation,Spearman rank correlation,18,NA,Correlation coefficient,Linear,NA,0.07,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,Finland_Russia,68.6,29.7,1998-2015,2021,1,NA,S1 heatmap,Scientific Reports,NA,new,NA,NA,NA,0.133661205,0.493016783,NA,18,0.243065549,-0.83265169,1.099974101
214n,R648,X899,Temperature,Human disease incidence,Incidence,Incidence,Annual minimum temperature,Q-fever,Q-fever,Bacteria,Z,Non-vectored,Coxiella,NA,Livestock,1,Correlation,Spearman rank correlation,18,NA,Correlation coefficient,Linear,NA,0.24,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,Finland_Russia,68.6,29.7,1998-2015,2021,1,NA,S1 heatmap,Scientific Reports,NA,new,NA,NA,NA,0.470906082,0.506614281,NA,18,0.25665803,-0.52205791,1.463870074
214n,R649,X900,Precipitation,Human disease incidence,Incidence,Incidence,Annual precipitation,Q-fever,Q-fever,Bacteria,Z,Non-vectored,Coxiella,NA,Livestock,1,Correlation,Spearman rank correlation,18,NA,Correlation coefficient,Linear,NA,-0.14,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,Finland_Russia,68.6,29.7,1998-2015,2021,1,NA,S1 heatmap,Scientific Reports,NA,new,NA,NA,NA,-0.269319054,0.496699149,NA,18,0.246710044,-1.242849386,0.704211277
214n,R650,X901,Precipitation,Human disease incidence,Incidence,Incidence,Annual maximum monthly precipitation,Q-fever,Q-fever,Bacteria,Z,Non-vectored,Coxiella,NA,Livestock,1,Correlation,Spearman rank correlation,18,NA,Correlation coefficient,Linear,NA,-0.02,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,Finland_Russia,68.6,29.7,1998-2015,2021,1,NA,S1 heatmap,Scientific Reports,NA,new,NA,NA,NA,-0.038102859,0.4919058,NA,18,0.241971316,-1.002238228,0.926032509
214n,R651,X902,Precipitation,Human disease incidence,Incidence,Incidence,Annual minimum monthly precipitation,Q-fever,Q-fever,Bacteria,Z,Non-vectored,Coxiella,NA,Livestock,1,Correlation,Spearman rank correlation,18,NA,Correlation coefficient,Linear,NA,-0.71,NA,NA,NA,NA,<0.01,NA,decrease,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,Finland_Russia,68.6,29.7,1998-2015,2021,1,NA,Significant combined-row metric,Scientific Reports,NA,new,NA,NA,NA,-1.920445519,0.698390001,NA,18,0.487748594,-3.289289921,-0.551601117
169,R428,X634,Temperature,Human disease incidence,Incidence,Incidence,Mean,Rickettsioses,Rickettsial disease,Bacteria,ZVB,Vectored,Rickettsia,Tick,Mammals (multispecies),1,GL(M)M,Poisson regression,160,NA,Incidence rate ratio,Linear,NA,0.99,0.91,1.06,95% Confidence,NA,>0.05,0.7,decrease,Results,https://doi.org/10.1371/journal.pgph.0000506,Oceania,Australia,Far North Queensland,NA,NA,1998-2019,2022,1,NA,N-values grouped into 10 groups based on mean temperature,PLOS Global Public Health,NA,g,200,142.305,-12.363,-0.005514696,0.009845159,10317.02647,160,9.69E-05,-0.024810853,0.01378146
169,R430,X636,Humidity,Human disease incidence,Incidence,Incidence,Mean AM,Rickettsioses,Rickettsial disease,Bacteria,ZVB,Vectored,Rickettsia,Tick,Mammals (multispecies),1,GL(M)M,Poisson regression,160,NA,Incidence rate ratio,Linear,NA,0.99,0.86,1.15,95% Confidence,NA,>0.05,0.99,decrease,Results,https://doi.org/10.1371/journal.pgph.0000506,Oceania,Australia,Far North Queensland,NA,NA,1998-2019,2022,1,NA,N-values grouped into 8 groups based on mean humidity,PLOS Global Public Health,NA,g,200,142.305,-12.363,-0.005514696,0.02250322,1974.743347,160,0.000506395,-0.049620198,0.038590805
169,R429,X635,Precipitation,Human disease incidence,Incidence,Incidence,Monthly total,Rickettsioses,Rickettsial disease,Bacteria,ZVB,Vectored,Rickettsia,Tick,Mammals (multispecies),1,GL(M)M,Poisson regression,160,NA,Incidence rate ratio,Linear,NA,1.01,0.95,1.06,95% Confidence,NA,>0.05,0.85,increase,Results,https://doi.org/10.1371/journal.pgph.0000506,Oceania,Australia,Far North Queensland,NA,NA,1998-2019,2022,1,NA,N-values grouped into 9 groups based on total rainfall,PLOS Global Public Health,NA,g,200,142.305,-12.363,0.005459823,0.007032256,20221.37188,160,4.95E-05,-0.008323146,0.019242792
169,R425,X631,Temperature,Human disease incidence,Incidence,Incidence,Mean,Leptospirosis,Leptospirosis,Bacteria,Z,Non-vectored,Leptospira,NA,Rodents,1,GL(M)M,Poisson regression,406,NA,Incidence rate ratio,Linear,NA,1.1,1.05,1.16,95% Confidence,NA,<0.001,NA,increase,Results,https://doi.org/10.1371/journal.pgph.0000506,Oceania,Australia,Far North Queensland,NA,NA,1998-2019,2022,1,NA,N-values grouped into 10 groups based on mean temperature,PLOS Global Public Health,NA,g,200,142.305,-12.363,0.052449645,0.008438708,14042.61936,406,7.12E-05,0.035910082,0.068989208
169,R426,X632,Precipitation,Human disease incidence,Incidence,Incidence,Monthly total,Leptospirosis,Leptospirosis,Bacteria,Z,Non-vectored,Leptospira,NA,Rodents,1,GL(M)M,Poisson regression,406,NA,Incidence rate ratio,Linear,NA,1.14,1.11,1.18,95% Confidence,NA,<0.001,NA,increase,Results,https://doi.org/10.1371/journal.pgph.0000506,Oceania,Australia,Far North Queensland,NA,NA,1998-2019,2022,1,NA,N-values grouped into 9 groups based on total rainfall,PLOS Global Public Health,NA,g,200,142.305,-12.363,0.072105476,0.005625805,31595.89356,406,3.16E-05,0.061079101,0.083131851
169,R427,X633,Humidity,Human disease incidence,Incidence,Incidence,Mean AM,Leptospirosis,Leptospirosis,Bacteria,Z,Non-vectored,Leptospira,NA,Rodents,1,GL(M)M,Poisson regression,406,NA,Incidence rate ratio,Linear,NA,1.5,1.41,1.6,95% Confidence,NA,<0.001,NA,increase,Results,https://doi.org/10.1371/journal.pgph.0000506,Oceania,Australia,Far North Queensland,NA,NA,1998-2019,2022,1,NA,N-values grouped into 8 groups based on mean humidity,PLOS Global Public Health,NA,g,200,142.305,-12.363,0.223129377,0.014064513,5055.342969,406,0.000197811,0.195563439,0.250695315
156,R407,X594,Precipitation,Human disease incidence,Cases,Occurrence of outbreak,Seasonal differences,Anthrax,Anthrax,Bacteria,Z,Non-vectored,Bacillus,NA,Mammals (multispecies),1,Other,Likelihood ratio Chi-square test,3006,NA,Chi-square,Linear,NA,4.75,NA,NA,NA,NA,<0.05,0.03,increase,Abstract,http://dx.doi.org/10.4142/jvs.2012.13.3.293,Africa,Zambia,Upper Zambezi floodplain,-15.0333332,22.8833298,1999-2007,2012,1,NA,N-value includes both livestock and human cases. Chi-square describes differences in precipitation seasonally whereby 4.75 reflects an increase in outbreaks during dry seasons,Journal of Vetinary Science,NA,g,3,22.8833298,-15.0333332,0.079545802,0.036507232,750.3125,3006,0.001332778,0.007992941,0.151098662
34,R58,X134,Precipitation,Human case locations,Cases,Cases,Monthly total,Plague,Plague,Bacteria,ZVB,Vectored,Yersinia,Flea,Rodents,1,GL(M)M,Multivariable logitstic regression,108,NA,Odds ratio,Linear,NA,1.04,1.02,1.07,95% Confidence,NA,<0.0001,NA,increase,Abstract,10.4269/ajtmh.2012.11-0569,Africa,Uganda,West nile region,3,31.2,1999-2008,2012,1,NA,"October (rainiest), N-value is number of months of study",American Journal of Tropical Medicine and Hygiene,2.106,g,46,31.2,3,0.021470154,0.006683103,NA,108,4.47E-05,0.008371272,0.034569037
34,R59,X135,Precipitation,Human case locations,Cases,Cases,Monthly total,Plague,Plague,Bacteria,ZVB,Vectored,Yersinia,Flea,Rodents,1,GL(M)M,Multivariable logitstic regression,108,NA,Odds ratio,Linear,NA,2.34,1.55,4.16,95% Confidence,NA,<0.0001,NA,increase,Abstract,10.4269/ajtmh.2012.11-0569,Africa,Uganda,West nile region,3,31.2,1999-2008,2012,1,NA,"February (driest), N-value is number of months of study",American Journal of Tropical Medicine and Hygiene,2.106,g,46,31.2,3,0.465388569,0.137871086,NA,108,0.019008436,0.195161241,0.735615897
64,R133,X248,Precipitation,Human disease incidence,Incidence,Cases,Monthly total,Hantaviral diseases,Haemorrhagic fever with renal syndrome,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,10,GL(M)M,Univariate bayesian regression,108,NA,Risk ratio,Linear,NA,0.0117,0.0099,0.014,95% Credible,NA,>0.05,0.08,increase,Discussion,10.1017/S0950268810002062,Europe,France,Franche-Comte,47.240002,6.02,1999-2008,2011,1,NA,"N-value is number of months of study, Ratio was for every 10mm of rain",Epidemiology and Infection,2.306,g,200,6.02,47.240002,-2.435009762,0.000323484,9556413.93,108,1.05E-07,-2.435643778,-2.434375745
64,R132,X247,Temperature,Human disease incidence,Incidence,Cases,Monthly mean,Hantaviral diseases,Haemorrhagic fever with renal syndrome,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Univariate bayesian regression,108,NA,Risk ratio,Linear,NA,0.84,0.62,1.16,95% Credible,NA,>0.05,0.29,decrease,Discussion,10.1017/S0950268810002062,Europe,France,Franche-Comte,47.240002,6.02,1999-2008,2011,1,NA,N-value is number of months of study,Epidemiology and Infection,2.306,g,200,6.02,47.240002,-0.095444315,0.04500644,493.6858368,108,0.00202558,-0.183655318,-0.007233313
231,R522,X824,Precipitation,Host infection,Seroprevalence,Prevalence of disease in host,Annual total,Brucellosis,Brucellosis,Bacteria,Z,Non-vectored,Brucella,NA,Livestock,1,GL(M)M,Generalised models,4079,NA,Unstandardised coefficient,Linear,NA,-0.00013,NA,NA,NA,NA,<0.01,1.10E-03,decrease,Results,10.1186/1471-2334-10-46,Europe,Iberian penninsula,Spain and Portugal,NA,NA,1999-2009,2010,1,NA,Hosts = ungulates,BMC Infectious Diseases,3.147,NA,64,-3.7492,40.4637,-0.102279644,0.031361756,NA,4079,0.00098356,-0.163748686,-0.040810603
203,R462,X732,Precipitation,Human disease incidence,Incidence,Natural logarithm of Incidence,Annual total,Hantaviral diseases,Haemorrhagic fever with renal syndrome,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,25.4,GL(M)M,Multivariate linear regression,32,y,Correlation coefficient,Linear,NA,-7.91E-05,NA,NA,NA,NA,>0.05,NA,decrease,Results,10.1371/journal.pone.0101348,Asia,China,Hebei province,39.074094,115.983687,1999-2011,2014,1,NA,NA,PLOS One,3.272,NA,62,115.983687,39.074094,NA,NA,NA,32,NA,NA,NA
203,R461,X731,Temperature,Human disease incidence,Incidence,Incidence,Annual mean,Hantaviral diseases,Haemorrhagic fever with renal syndrome,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,GL(M)M,Multivariate linear regression,32,y,Correlation coefficient,Linear,NA,0.185,NA,NA,NA,NA,<0.05,NA,increase,Results,10.1371/journal.pone.0101348,Asia,China,Hebei province,39.074094,115.983687,1999-2011,2014,1,NA,NA,PLOS One,3.272,NA,62,115.983687,39.074094,0.726932484,0.386375392,NA,32,0.149285943,-0.030363284,1.484228252
250,R689,X940,Precipitation,Human disease incidence,Cases,WNND cases (annual state total),Palmer Drought Severity Index (MayâAug mean; higher=wetter; lower=drier),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Negative binomial GLMM (glmmPQL),519,0,Unstandardised coefficient,Linear,NA,-0.14,NA,NA,NA,0.02,<0.001,NA,decrease,Results (Table S1),10.1098/rspb.2016.2078,North America,United States,Continental USA (state-level),39.5,-98.35,1999-2013,2017,1,0,National model; coefficients on log scale; adjusted for immunity and other predictors; negative PDSI coefficient implies higher WNND with increasing drought severity; exposures aggregated MayâAug; coordinates are continental USA centroid,Proceedings of the Royal Society B,NA,new,NA,NA,NA,-0.614825654,0.091989298,NA,519,0.008462031,-0.795124678,-0.43452663
250,R690,X941,Temperature,Human disease incidence,Cases,WNND cases (annual state total),Temperature-driven relative R0 (MayâAug),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Negative binomial GLMM (glmmPQL),519,0,Unstandardised coefficient,Linear,NA,1.24,NA,NA,NA,0.29,<0.001,NA,increase,Results (Table S1),10.1098/rspb.2016.2078,North America,United States,Continental USA (state-level),39.5,-98.35,1999-2013,2017,1,0,Temperature-derived relative R0 variable; coefficients on log scale; adjusted model; exposures aggregated MayâAug; coordinates are continental USA centroid,Proceedings of the Royal Society B,NA,new,NA,NA,NA,0.375558528,0.089458336,NA,519,0.008002794,0.20022019,0.550896865
250,R691,X942,Precipitation,Human disease incidence,Cases,WNND cases (annual state total),Total precipitation (mm; MayâAug),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Negative binomial GLMM (glmmPQL),519,0,Unstandardised coefficient,Linear,NA,0.002,NA,NA,NA,0.001,<0.01,1.00E-03,increase,Results (Table S1),10.1098/rspb.2016.2078,North America,United States,Continental USA (state-level),39.5,-98.35,1999-2013,2017,1,0,Adjusted national model; coefficients on log scale; exposures aggregated MayâAug; coordinates are continental USA centroid,Proceedings of the Royal Society B,NA,new,NA,NA,NA,0.175664473,0.088256754,NA,519,0.007789255,0.002681234,0.348647711
250,R692,X943,Temperature,Human disease incidence,Cases,WNND cases (annual state total),Winter severity (weeks <0Â°C in previous winter),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Negative binomial GLMM (glmmPQL),519,0,Unstandardised coefficient,Linear,NA,0.03,NA,NA,NA,0.01,<0.05,0.05,increase,Results (Table S1),10.1098/rspb.2016.2078,North America,United States,Continental USA (state-level),39.5,-98.35,1999-2013,2017,1,NA,Adjusted national model; prior winter exposure; coefficients on log scale; coordinates are continental USA centroid,Proceedings of the Royal Society B,NA,new,NA,NA,NA,0.263496709,0.08867924,NA,519,0.007864008,0.089685399,0.437308019
274,R901,X1152,Temperature,Human disease incidence,Cases,Hospital admissions,"Daily minimum temperature (Â°C), Ben-Gurion station",Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,Correlation,Pearson correlation,168,0,Correlation coefficient,Linear,NA,0.5,NA,NA,NA,NA,<0.05,NA,increase,Results,10.1080/09603120500392400,Asia,Israel,Ben-Gurion Airport,32,34.9,2000 (1 Jun-15 Nov),2006,1,1.61,Paper reports significant r across lags (0.3â0.58) but not the exact r at peak lag; N=168 days; coordinates approximated to station centroid.,International Journal of Environmental Health Research,NA,new,NA,NA,NA,1.149475649,0.178973116,NA,168,0.032031376,0.798688342,1.500262956
