Response,Specific,Disease,P_V_B,Taxa_genus,Include,reason,type,vector,Environmental_condition,Specific_metric,Specific_scale,Statistical_method,N-value,temp_altered,Type,Linear_Nonlinear,R-squared,Value,Lower,Upper,Error,Std._error,P-value_general,P-value_specific,Direction,Direction_statement,DOI,Reference_ID,Data_ID,Continent,Country,Location,Latitude_,Longitude,Study_period,Date_published,Dummy,lag_period_months,Notes,Journal,Journal_5yr_Impact
Incidence,Incidence,Brucellosis,B,Brucella,Y,,HH,,Precipitation,Monthly total,1,Cross-correlation analysis,2688,,Correlation coefficient,Linear,,-0.63,,,,,<0.05,,decrease,Results,10.1186/1471-2334-13-547,75,X277,Asia,China,Shanxi,37.87146,112.551208,2004-2009,2013,1,3,"N-value = number of weather stations (130) / number of regions (4) * months in study period (84), no distribution of weather stations available ",BMC Infectious Diseases,3.147
Abundance,Host number,Hendra virus,V,Henipavirus,Y,,HH,,Temperature,Annual mean,1,Ordinary least squares model,1229,,Beta coefficient,Linear,,0.2,-0.02,0.42,Std. error,0.22,>0.05,,increase,Discussion,10.1371/journal.pone.0099965,76,X283,Oceania,Australia,"Queensland, New South Wales",,,1994-2012,2014,1,,"n-value = 80 cases, & 1189 randomly sampled locations",PLOS One,3.272
Abundance,Host number,Hendra virus,V,Henipavirus,Y,,HH,,Humidity,Annual relative,1,Ordinary least squares model,1229,,Beta coefficient,Linear,,0.14,0.11,0.17,Std. error,0.03,<0.05,,increase,Results,10.1371/journal.pone.0099965,76,X285,Oceania,Australia,"Queensland, New South Wales",,,1994-2012,2014,1,,"n-value = 80 cases, & 1189 randomly sampled locations",PLOS One,3.272
Abundance,Host number,Hendra virus,V,Henipavirus,Y,,HH,,Precipitation,Annual mean total,1,Ordinary least squares model,1229,,Beta coefficient,Linear,,0.02,-0.06,0.1,Std. error,,>0.05,0.08,increase,Results,10.1371/journal.pone.0099965,76,X284,Oceania,Australia,"Queensland, New South Wales",,,1994-2012,2014,1,,"n-value = 80 cases, & 1189 randomly sampled locations",PLOS One,3.272
Cases,Cases,Brucellosis,B,Brucella,Y,,HH,,Temperature,Monthly mean,1,Pearson correlation,108,,Correlation coefficient,Linear,,0.33,,,,,<0.001,0.001,increase,Abstract,https://doi.org/10.1371/journal.pone.0232910,77,X286,Asia,Iran,Qazvin province,36.269363,50.003201,2010-2018,2020,1,,N-value is number of months of study,PLOS One,3.272
Incidence,Cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Precipitation,Weekly mean,1,Poisson regression,96,,Percent change,Linear,,-2.4,-3.2,-1.5,95% Confidence,,<0.05,,decrease,Abstract,10.1186/s12879-017-2506-6,166,X619,Asia,South Korea,,,,2001-2009,2017,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Abundance,Host prevalence,Anjozorobe virus,V,Hantavirus,Y,,HH,,Precipitation,Annual total,1,Generalised linear mixed models,897,,Odds ratio,Linear,,2,1.28,3.12,95% Confidence,,<0.01,0.003,increase,Abstract,https://doi.org/10.1186/s12985-018-0992-9,79,X289,Africa,Madagascar,,,,2012-2013,2018,1,,"N-value is number  of cases as worldclim data available for all cases, Linear",Virology Journal,3.746
Abundance,Host prevalence,Anjozorobe virus,V,Hantavirus,Y,,HH,,Temperature,Annual mean,1,Generalised linear mixed models,897,,Odds ratio,Linear,,1.09,0.61,1.95,95% Confidence,,>0.05,0.76,increase,Results,https://doi.org/10.1186/s12985-018-0992-9,79,X288,Africa,Madagascar,,,,2012-2013,2018,1,,"N-value is number  of cases as worldclim data available for all cases, Non-linear option available",Virology Journal,3.746
Abundance,Host prevalence,Anjozorobe virus,V,Hantavirus,Y,,HH,,Precipitation,Annual total,1,Generalised linear mixed models,897,,Odds ratio,Linear,,0.75,0.54,1.04,95% Confidence,,>0.05,0.07,decrease,Results,https://doi.org/10.1186/s12985-018-0992-9,79,X290,Africa,Madagascar,,,,2012-2013,2018,1,,"N-value is number  of cases as worldclim data available for all cases, Non-linear option available",Virology Journal,3.746
Cases,Hospital admissions,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Temperature,Daily mean,1,Generalised additive model,2764,,Relative risk,Linear,,1.067,1.006,1.132,95% Confidence,,<0.05,,increase,Abstract,https://doi.org/10.1016/j.actatropica.2020.105701,100,X364,Asia,India,Gorakhpur,26.752228,83.378751,2001-2016,2020,1,0.33333,Can't access,Acta Tropica,3.074
Cases,Log10 transformed Cases,Hantavirus pulmonary syndrome,V,Hantavirus,Y,,HH,,Temperature,Monthly mean,1,Dynamic regression analysis,240,,Correlation coefficient,Linear,,0.57,0.46,0.68,Std. error,0.11,<0.05,,increase,Discussion,https://doi.org/10.1371/journal.pntd.0008786,81,X292,South America,Argentina,"Salta, Jujuy",,,1997-2017,2020,1,1.5,"N-value is number of months of study, Model 4 picked because correlations were significant, Each 1-lag = 1.5 months, Cases log10transformed",PLOS neglected tropical diseases,4.548
Cases,Log10 transformed Cases,Hantavirus pulmonary syndrome,V,Hantavirus,Y,,HH,,Precipitation,Monthly total,1,Dynamic regression analysis,240,,Correlation coefficient,Linear,0.58,-0.61,-0.77,-0.45,Std. error,0.16,<0.05,,decrease,Discussion,https://doi.org/10.1371/journal.pntd.0008786,81,X293,South America,Argentina,"Salta, Jujuy",,,1997-2017,2020,1,3,"N-value is number of months of study, Model 4 picked because correlations were significant, Each 1-lag = 1.5 months, Cases log10transformed",PLOS neglected tropical diseases,4.548
Cases,Cases,Rocky Mountain Spotted Fever,B,Rickettsia,Y,,HVH,T,Temperature,Annual mean,1,Bivariate regression analysis,4081,,Estimate,Linear,,0.92,0.46,1.38,Std. error,0.46,>0.05,0.19,increase,Conclusion,10.1371/journal.pone.0150180,82,X296,North America,USA,"Kansas, Missouri, Oklahoma, Arkansas",,,2005-2014,2016,1,,"24.9-27.9, N-value = number of counties in study region (371) multiplied the years of study (11)",PLOS One,3.272
Cases,Cases,Rocky Mountain Spotted Fever,B,Rickettsia,Y,,HVH,T,Humidity,Annual mean relative,1,Bivariate regression analysis,4081,,Estimate,Linear,,0.62,0.5,0.74,Std. error,0.12,<0.05,0.03,increase,Conclusion,10.1371/journal.pone.0150180,82,X297,North America,USA,"Kansas, Missouri, Oklahoma, Arkansas",,,2005-2014,2016,1,,N-value = number of counties in study region (371) multiplied the years of study (11),PLOS One,3.272
Cases,Cases,Rocky Mountain Spotted Fever,B,Rickettsia,Y,,HVH,T,Temperature,Annual mean,1,Bivariate regression analysis,4081,,Estimate,Linear,0.58,-0.61,-0.74,-0.48,Std. error,0.13,<0.05,0.03,decrease,Conclusion,10.1371/journal.pone.0150180,82,X294,North America,USA,"Kansas, Missouri, Oklahoma, Arkansas",,,2005-2014,2016,1,,">35, N-value = number of counties in study region (371) multiplied the years of study (11)",PLOS One,3.272
Cases,Cases,Rocky Mountain Spotted Fever,B,Rickettsia,Y,,HVH,T,Temperature,Annual mean,1,Bivariate regression analysis,4081,,Estimate,Linear,,-1.05,-1.58,-0.52,Std. error,0.53,>0.05,0.2,decrease,Conclusion,10.1371/journal.pone.0150180,82,X295,North America,USA,"Kansas, Missouri, Oklahoma, Arkansas",,,2005-2014,2016,1,,"28-34, N-value = number of counties in study region (371) multiplied the years of study (11)",PLOS One,3.272
Seroprevalence,Seroprositivity ratio,Spotted fever group,B,Rickettsia,Y,,HVH,T,Temperature,Daily mean,1,Poisson regression,1228,,Prevalence ratio,Linear,,1.93,1.63,2.28,95% Confidence,,<0.001,,increase,Abstract,10.1371/journal.pntd.0003626,83,X298,Africa,Tanzania,Mbeya, -8.909401,33.460773,2007-2008,2015,1,,"N-value highlighted in table,Univariate, precipitation not included",PLOS neglected tropical diseases,4.548
Cases,Cases,Histoplasmosis,P,Histoplasma,Y,,HH,,Precipitation,Monthly total,1,Autoregressive distributed lag time-series regression,,,Beta coefficient,Linear,,0.0001,,,,,<0.001,,increase,Discussion,10.1097/QAD.0b013e32833999c9,84,X300,South America,French Guiana,,,,1999-2007,2010,1,7,N-value is number of months of study,AIDS,4.632
Cases,Cases,Histoplasmosis,P,Histoplasma,Y,,HH,,Humidity,Monthly maximum,1,Autoregressive distributed lag time-series regression,,,Beta coefficient,Linear,,-0.107,,,,,<0.001,,decrease,Discussion,10.1097/QAD.0b013e32833999c9,84,X301,South America,French Guiana,,,,1999-2007,2010,1,6,N-value is number of months of study,AIDS,4.632
Cases,Cases,Histoplasmosis,P,Histoplasma,Y,,HH,,Temperature,Monthly minimum,1,Autoregressive distributed lag time-series regression,,,Beta coefficient,Linear,,-0.114,,,,,<0.01,0.008,decrease,Discussion,10.1097/QAD.0b013e32833999c9,84,X299,South America,French Guiana,,,,1999-2007,2010,1,,N-value is number of months of study,AIDS,4.632
Incidence,Monthly cases,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Precipitation,Monthly total,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,0.415,,,,,<0.01,,increase,Abstract,10.3390/ijerph15040608,86,X333,Asia,China,Shanxi,37.87146,112.551208,2006-2014,2018,1,,"N-value is number of months of study, 1197 individuals",Environmental and Public Health,3.339
Incidence,Monthly,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Humidity,Monthly,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,0.326,,,,,<0.01,,increase,Discussion,10.3390/ijerph15040608,86,X334,Asia,China,Shanxi,37.87146,112.551208,2006-2014,2018,1,,"N-value is number of months of study, 1197 individuals",Environmental and Public Health,3.339
Incidence,Monthly cases,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Temperature,Monthly mean,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,0.15,,,,,>0.05,,increase,Discussion,10.3390/ijerph15040608,86,X332,Asia,China,Shanxi,37.87146,112.551208,2006-2014,2018,1,,"N-value is number of months of study, 1197 individuals",Environmental and Public Health,3.339
Incidence,Cases,Leptospirosis,B,Leptospira,Y,,HH,,Precipitation,Daily mean,1,Regression analysis,10,,Incidence rate ratio,Linear,,2.01,1.7,2.39,95% Confidence,,<0.05,,increase,Discussion,https://doi.org/10.1371/journal.pntd.0007968,87,X335,Asia,China,Sichuan,31.456781 102.843018,102.843018,2004-2014,2019,1,,N-value is number of years of study,PLOS neglected tropical diseases,4.548
Seroprevalence,Seroprevalence,Puumala virus,V,Hantavirus,Y,,HH,,Temperature,Annual mean,1,Generalised linear mixed models,27,,Log odds-ratio,Linear,,-0.501,-0.873,-0.129,95% Confidence,,<0.01,0.008,decrease,Abstract,10.3390/v6103944,88,X336,Europe,Germany,Lower bavaria,48.85382992,13.65316405,2008-2010,2014,1,,N-value is number of years of study,MDPI Viruses,4.975
Cases,Hospital admissions,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Precipitation,Daily total,1,Generalised additive model,2764,,Relative risk,Linear,,1.003,1,1.006,95% Confidence,,<0.05,,increase,Abstract,https://doi.org/10.1016/j.actatropica.2020.105701,100,X365,Asia,India,Gorakhpur,26.752228,83.378751,2001-2016,2020,1,,Can't access,Acta Tropica,3.074
Cases,Hospital admissions,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Humidity,Daily mean relative,1,Generalised additive model,2764,,Relative risk,Linear,,0.988,0.979,0.998,95% Confidence,,<0.05,,decrease,Abstract,https://doi.org/10.1016/j.actatropica.2020.105701,100,X366,Asia,India,Gorakhpur,26.752228,83.378751,2001-2016,2020,1,,Can't access,Acta Tropica,3.074
Abundance,Abundance of host,Rickettsial disease,B,Rickettsia,Y,,HVH,T,Precipitation,Annual mean,1,Generalised linear mixed models,2441,,Beta coefficient,Linear,,-0.173,-0.561,0.215,Std. error,0.388,>0.05,0.31,decrease,Abstract,http://dx.doi.org/10.1098/rspb.2017.0475,229,X819,Africa,Kenya,Laikipia,0.36386,36.805827,2013-2014,2017,1,,R. pravus,Proceedings of the Royal Society B: Biological sciences,4.744
Abundance,Quarterly case numbers,Canine Leptospirosis,B,Leptospira,Y,,HH,,Temperature,Monthly mean,1,Univariate regression,108,,Beta coefficient,Linear,0.73,0.37,,,,,<0.001,,increase,Abstract,10.3390/ijerph110707242,92,X345,Europe,Switzerland,,,,2003-2012,2014,1,,N-value is number of months of study,Environmental Research and Public Health,3.531
Abundance,Quarterly case numbers,Canine Leptospirosis,B,Leptospira,Y,,HH,,Precipitation,Monthly total,1,Univariate regression,108,,Beta coefficient,Linear,0.39,0.3,,,,,<0.001,,increase,Abstract,10.3390/ijerph110707242,92,X346,Europe,Switzerland,,,,2003-2012,2014,1,,N-value is number of months of study,Environmental Research and Public Health,3.531
Cases,Cases,Leptospirosis,B,Leptospira,Y,,HH,,Precipitation,Annual total,1,Linear regression,180,,Correlation coefficient,Linear,0.82,0.77,,,,,<0.05,,increase,Abstract,10.3354/cr01120,93,X347,North America,Jamaica,,,,1992-2007,2012,1,,"n-value is number of months of study, temperature trends for particular months available but no overall trends",Climate Research,2.044
Abundance,Abundance of host,Rickettsial disease,B,Rickettsia,Y,,HVH,T,Precipitation,Annual mean,1,Generalised linear mixed models,2043,,Beta coefficient,Linear,,-0.144,-0.252,-0.036,Std. error,0.108,>0.05,0.18,decrease,Abstract,http://dx.doi.org/10.1098/rspb.2017.0475,229,X820,Africa,Kenya,Laikipia,0.36386,36.805827,2013-2014,2017,1,,R. praetextatus,Proceedings of the Royal Society B: Biological sciences,4.744
Incidence,Seasonal incidence,Lassa fever,V,Arenaviridae,Y,,HH,,Precipitation,Seasonal changes,,Cross-map causality,2000,,Unlagged cross-map skill,Linear,,0.6,,,,,<0.01,,increase,Discussion,http://dx.doi.org/10.1098/rstb.2018.0268,193,X711,Africa,Nigeria,,,,2016-2018,2019,1,,Unlikely to be useful but looks at the relationship between meteorological factors and disease incidence,Philosophical Transaction of the Royal Society B: Biological Sciences,5.887
Incidence,Seasonal incidence,Lassa fever,V,Arenaviridae,Y,,HH,,Humidity,Seasonal changes,,Cross-map causality,2000,,Unlagged cross-map skill,Linear,,0.6,,,,,>0.05,,increase,Results,http://dx.doi.org/10.1098/rstb.2018.0268,193,X712,Africa,Nigeria,,,,2016-2018,2019,1,,Unlikely to be useful but looks at the relationship between meteorological factors and disease incidence,Philosophical Transaction of the Royal Society B: Biological Sciences,5.887
Incidence,Seasonal incidence,Lassa fever,V,Arenaviridae,Y,,HH,,Temperature,Seasonal changes,,Cross-map causality,2000,,Unlagged cross-map skill,Linear,,0.56,,,,,>0.05,,increase,Results,http://dx.doi.org/10.1098/rstb.2018.0268,193,X710,Africa,Nigeria,,,,2016-2018,2019,1,,Unlikely to be useful but looks at the relationship between meteorological factors and disease incidence,Philosophical Transaction of the Royal Society B: Biological Sciences,5.887
Incidence,Cases,Hantaan virus,V,Hantavirus,Y,,HH,,Precipitation,Monthly total,1,Generalised additive model,636,,Correlation coefficient,Linear,,0.35,,,,,<0.01,,increase,Discussion,https://doi.org/10.1073/pnas.1701777114,96,X355,Asia,China,Wehei plain,33.998642,107.999559,1960-2013,2017,1,,N-value is the number of months in the study period," Proceedings of the National Academy of Sciences, Biological Sciences",0.96
Incidence,Cases,Hantaan virus,V,Hantavirus,Y,,HH,,Temperature,Monthly mean,1,Generalised additive model,636,,Correlation coefficient,Linear,,-0.48,,,,,<0.01,,decrease,Discussion,https://doi.org/10.1073/pnas.1701777114,96,X354,Asia,China,Wehei plain,33.998642,107.999559,1960-2013,2017,1,,N-value is the number of months in the study period," Proceedings of the National Academy of Sciences, Biological Sciences",0.96
Abundance,Host abundance,Seoul hantavirus,V,Hantavirus,Y,,HH,,Precipitation,Monthly total,1,Pearson correlation,204,,Correlation coefficient,Linear,,0.28,,,,,<0.05,,increase,Results,https://doi.org/10.1371/journal.pntd.0007757,97,X357,Asia,China,Huludao city,40.711052,120.836929,1998-2015,2019,1,4,N-value is number of months of study,PLOS neglected tropical diseases,4.548
Abundance,Host abundance,Seoul hantavirus,V,Hantavirus,Y,,HH,,Humidity,Monthly absolute,1,Pearson correlation,204,,Correlation coefficient,Linear,0.5,0.24,,,,,<0.05,,increase,Abstract,https://doi.org/10.1371/journal.pntd.0007757,97,X358,Asia,China,Huludao city,40.711052,120.836929,1998-2015,2019,1,4,N-value is number of months of study,PLOS neglected tropical diseases,4.548
Abundance,Host abundance,Seoul hantavirus,V,Hantavirus,Y,,HH,,Temperature,Monthly mean,1,Pearson correlation,204,,Correlation coefficient,Linear,,0.23,,,,,<0.05,,increase,Results,https://doi.org/10.1371/journal.pntd.0007757,97,X356,Asia,China,Huludao city,40.711052,120.836929,1998-2015,2019,1,3,N-value is number of months of study,PLOS neglected tropical diseases,4.548
Incidence,Incidence,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Temperature,Monthly mean,1,Pearson correlation,204,,Correlation coefficient,Linear,0.66,0.38,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-9-109,98,X359,Asia,China,Huludao city,40.711052,120.836929,1990-2006,2009,1,3,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Humidity,Monthly mean relative,1,Pearson correlation,204,,Correlation coefficient,Linear,0.66,0.38,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-9-109,98,X361,Asia,China,Huludao city,40.711052,120.836929,1990-2006,2009,1,3,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Precipitation,Monthly total,1,Pearson correlation,204,,Correlation coefficient,Linear,0.66,0.27,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-9-109,98,X360,Asia,China,Huludao city,40.711052,120.836929,1990-2006,2009,1,3,N-value is number of months of study,BMC Infectious Diseases,3.147
Abundance,Host abundance,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Temperature,Monthly mean,1,Cross-correlation analysis,84,,Correlation coefficient,Linear,,0.233,,,,,<0.05,,increase,Abstract,10.1371/journal.pone.0061536,99,X362,Asia,China,Changsha,28.228001,112.939003,2004-2011,2013,1,,N-value is number of months of study,PLOS One,3.272
Abundance,Host abundance,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Precipitation,Monthly total,1,Cross-correlation analysis,84,,Correlation coefficient,Linear,,0.214,,,,,<0.05,,increase,Abstract,10.1371/journal.pone.0061536,99,X363,Asia,China,Changsha,28.228001,112.939003,2004-2011,2013,1,1,N-value is number of months of study,PLOS One,3.272
Cases,Cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Precipitation,Monthly total,1,Cross-correlation analysis,1931,,Correlation coefficient,Linear,0.51,-0.161,-0.28,-0.042,Std. error,0.119,<0.05,,decrease,Discussion,10.1186/1471-2334-11-331,151,X581,Asia,China,Shenyang city,41.799999,123.400002,2004-2009,2011,1,3,"Maximum correlation co-efficient taken, considered signficant if values were all on either side of 0",BMC Infectious Diseases,3.147
Cases,Cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Temperature,Monthly mean,1,Cross-correlation analysis,1931,,Correlation coefficient,Linear,0.51,-0.165,-0.284,-0.046,Std. error,0.119,<0.05,,decrease,Discussion,10.1186/1471-2334-11-331,151,X580,Asia,China,Shenyang city,41.799999,123.400002,2004-2009,2011,1,4,"Maximum correlation co-efficient taken, considered signficant if values were all on either side of 0",BMC Infectious Diseases,3.147
Cases,Cases,Haemorrhagic fever with renal syndrome,V,Hantavirus,Y,,HH,,Humidity,Monthly mean relative,1,Cross-correlation analysis,1931,,Correlation coefficient,Linear,0.51,-0.446,-0.565,-0.327,Std. error,0.119,<0.05,,decrease,Discussion,10.1186/1471-2334-11-331,151,X582,Asia,China,Shenyang city,41.799999,123.400002,2004-2009,2011,1,-1,"Maximum correlation co-efficient taken, considered signficant if values were all on either side of 0",BMC Infectious Diseases,3.147
Incidence,Monthly Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Temperature,Monthly mean,1,Zero inflated poisson regression,483,,Beta coefficient,Linear,,1.097,0.979,1.223,95% Credible,,<0.05,,increase,Abstract,10.3390/ijerph110404201,101,X367,Asia,China,Southwest,,,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531
Incidence,Monthly Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Precipitation,Monthly total,1,Zero inflated poisson regression,483,,Beta coefficient,Linear,,0.261,0.215,0.307,95% Credible,,<0.05,,increase,Abstract,10.3390/ijerph110404201,101,X368,Asia,China,Southwest,,,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531
Incidence,Monthly Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Temperature,July mean maximum,1,Spearman rank correlation,483,,Correlation coefficient,Linear,,0.258,,,,,<0.05,,increase,Abstract,10.3390/ijerph110404201,101,X367,Asia,China,Southwest,,,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531
Incidence,Monthly Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Precipitation,July total,1,Spearman rank correlation,483,,Correlation coefficient,Linear,,0.233,,,,,<0.05,,increase,Abstract,10.3390/ijerph110404201,101,X368,Asia,China,Southwest,,,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531
Incidence,Monthly Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Temperature,August mean maximum,1,Spearman rank correlation,483,,Correlation coefficient,Linear,,0.221,,,,,<0.05,,increase,Abstract,10.3390/ijerph110404201,101,X369,Asia,China,Southwest,,,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531
Incidence,Monthly Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Precipitation,August total,1,Spearman rank correlation,483,,Correlation coefficient,Linear,,0.139,,,,,<0.05,,increase,Abstract,10.3390/ijerph110404201,101,X370,Asia,China,Southwest,,,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531
Incidence,Monthly Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Precipitation,September total,1,Spearman rank correlation,483,,Correlation coefficient,Linear,,0.063,,,,,>0.05,,increase,Abstract,10.3390/ijerph110404201,101,X372,Asia,China,Southwest,,,2006,2014,1,2,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531
Incidence,Monthly Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Temperature,September mean maximum,1,Spearman rank correlation,483,,Correlation coefficient,Linear,,-0.051,,,,,>0.05,,decrease,Abstract,10.3390/ijerph110404201,101,X371,Asia,China,Southwest,,,2006,2014,1,1,N-value is the number of counties (483) where comparisons were made for relationships in 2006,Environmental Research and Public Health,3.531
Abundance,Disease presence,Puumala virus,V,Hantavirus,Y,,HH,,Temperature,Annual total,1,Multi-level logistic regression,1933,,Beta coefficient,Linear,,0,,,,,>0.05,0.23,no change,Discussion,10.3389/fpubh.2015.00054,102,X375,Europe,Europe,"Belgium, Finland, France, Netherlands, Norway, Sweden",,,1989-2012,2015,1,,"Issues as it is a multi-country study. Lanscape level = the area covered by a circular 5km radius around presence/absence. N-value is presence only data, additional 6425 absences.",Frontiers in Public Health,3.008
Abundance,Disease presence,Puumala virus,V,Hantavirus,Y,,HH,,Temperature,Summer maximum,1,Multi-level logistic regression,1933,,Beta coefficient,Linear,,-0.94,,,,,<0.01,0.0023,decrease,Abstract,10.3389/fpubh.2015.00054,102,X373,Europe,Europe,"Belgium, Finland, France, Netherlands, Norway, Sweden",,,1989-2012,2015,1,,"Issues as it is a multi-country study. Regional level = grouping of presence/absence. N-value is presence only data, additional 6425 absences.",Frontiers in Public Health,3.008
Abundance,Disease presence,Puumala virus,V,Hantavirus,Y,,HH,,Temperature,Winter minimum,1,Multi-level logistic regression,1933,,Beta coefficient,Linear,,-1.62,,,,,<0.05,0.0267,decrease,Abstract,10.3389/fpubh.2015.00054,102,X374,Europe,Europe,"Belgium, Finland, France, Netherlands, Norway, Sweden",,,1989-2012,2015,1,,"Issues as it is a multi-country study. Regional level = grouping of presence/absence. N-value is presence only data, additional 6425 absences.",Frontiers in Public Health,3.008
Incidence,Incidence,Leptospirosis,B,Leptospira,Y,,HH,,Temperature,Monthly mean minimum,1,Bivariate generalised autoregressive moving average models,72,,Relative risk,Linear,,1.1,0.68,1.79,95% Confidence,,>0.05,0.689,increase,Abstract,10.5123/S1679-49742019000100009,103,X376,South America,Brazil,Rio Branco,-9.979561,-67.823891,2008-2013,2019,1,,N-value is number of months of study,Epidemiologia e Serviços de Saúde ,
Incidence,Incidence,Leptospirosis,B,Leptospira,Y,,HH,,Humidity,Monthly mean relative,1,Bivariate generalised autoregressive moving average models,72,,Relative risk,Linear,,0.98,0.86,1.12,95% Confidence,,>0.05,0.757,decrease,Abstract,10.5123/S1679-49742019000100009,103,X378,South America,Brazil,Rio Branco,-9.979561,-67.823891,2008-2013,2019,1,,N-value is number of months of study,Epidemiologia e Serviços de Saúde ,
Incidence,Incidence,Leptospirosis,B,Leptospira,Y,,HH,,Precipitation,Monthly total,1,Bivariate generalised autoregressive moving average models,72,,Relative risk,Linear,,0.76,0.58,1,95% Confidence,,<0.05,0.047,decrease,Abstract,10.5123/S1679-49742019000100009,103,X377,South America,Brazil,Rio Branco,-9.979561,-67.823891,2008-2013,2019,1,,N-value is number of months of study,Epidemiologia e Serviços de Saúde ,
Incidence,Cases,Leptospirosis,B,Leptospira,Y,,HH,,Precipitation,Weekly total,1,Poisson generalized linear regression,52,,Beta coefficient,Linear,,0.008,0.0055,0.0105,Std. error,0.0025,<0.01,0.002,increase,Results,10.4269/ajtmh.16-0922,104,X380,Asia,Malaysia,Kelantan,6.127463,102.242287,2014,2018,1,,"N-value is number of months of study, no errors extracted because values didn't add up",American Journal of Tropical Medicine and Hygiene,2.106
Incidence,Cases,Leptospirosis,B,Leptospira,Y,,HH,,Temperature,Weekly maximum,1,Poisson generalized linear regression,52,,Beta coefficient,Linear,,-0.145,-0.173,-0.117,Std. error,0.0281,<0.0001,0,decrease,Results,10.4269/ajtmh.16-0922,104,X379,Asia,Malaysia,Kelantan,6.127463,102.242287,2014,2018,1,,"N-value is number of months of study, no errors extracted because values didn't add up",American Journal of Tropical Medicine and Hygiene,2.106
Incidence,Cases,Leptospirosis,B,Leptospira,Y,,HH,,Humidity,Weekly relative,1,Poisson generalized linear regression,52,,Beta coefficient,Linear,,-0.196,-0.2115,-0.1805,Std. error,0.0155,<0.0001,0,decrease,Results,10.4269/ajtmh.16-0922,104,X381,Asia,Malaysia,Kelantan,6.127463,102.242287,2014,2018,1,,"N-value is number of months of study, no errors extracted because values didn't add up",American Journal of Tropical Medicine and Hygiene,2.106
Incidence,Cases,Anthrax,B,Bacillus,Y,,HH,,Temperature,Monthly mean,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,0.7,0.58,0.78,95% Confidence,,<0.05,,increase,Abstract,10.1371/journal.pntd.0004637,105,X382,Asia,China,,,,2005-2013,2016,1,1,"N-value is number of months of study, table found in supplementary",PLOS neglected tropical diseases,4.548
Incidence,Cases,Anthrax,B,Bacillus,Y,,HH,,Precipitation,Monthly total,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,0.68,0.55,0.78,95% Confidence,,<0.05,,increase,Abstract,10.1371/journal.pntd.0004637,105,X383,Asia,China,,,,2005-2013,2016,1,1,"N-value is number of months of study, table found in supplementary",PLOS neglected tropical diseases,4.548
